Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,PRISM MEDICAL WESTHOLME DIVISION,25/06/2013,128,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,PRISM MEDICAL WESTHOLME DIVISION,25/06/2013,111,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,POWERGUARDS INC RAMPING SYSTEMS,11/06/2013,1650,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,CEFNDY ENTERPRISES HEALTHCARE,11/06/2013,509.1,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,MANGAR INTERNATIONAL LTD,18/06/2013,2658,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Adaptations,TRAVIS PERKINS TRADING CO LIMITED,18/06/2013,2231,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,04/06/2013,153.3,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,The Skills Development Service Ltd,24/06/2013,115,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Adaptations,TRAVIS PERKINS TRADING CO LIMITED,13/06/2013,115.77,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,MANGAR INTERNATIONAL LTD,13/06/2013,300,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Adaptations,TRAVIS PERKINS TRADING CO LIMITED,26/06/2013,2493.5,,,,,,,,
Adult Care & Support,Access & Enablement,HOAW,Supplies & Services,Equipment - Purchase,Boots The Chemist,14/06/2013,120,,,,,,,,
Adult Care & Support,Access & Enablement,HOAW,Supplies & Services,Equipment - Purchase,Boots The Chemist,14/06/2013,120,,,,,,,,
Adult Care & Support,Access & Enablement,HOAW,Supplies & Services,Equipment - Purchase,Boots The Chemist,14/06/2013,120,,,,,,,,
Adult Care & Support,Access & Enablement,HOAW,Third Party Payments,Nursing Expenditure,OAKENGATES MEDICAL PRACTICE,14/06/2013,1816.25,,,,,,,,
Adult Care & Support,Access & Enablement,HOBB,Transport-Related Expenditure,Parking Charges,SHREWSBURY & TELFORD HOSPITAL NHS TRUST,05/06/2013,180,,,,,,,,
Adult Care & Support,Access & Enablement,HOCL,Supplies & Services,Protective Clothing,MELTEMI COMPANY CLOTHING LTD,14/06/2013,478.5,,,,,,,,
Adult Care & Support,Access & Enablement,HOCN,Supplies & Services,Aids & Appliances,NRS Healthcare T/A Nottingham Rehab Ltd,11/06/2013,2149.5,,,,,,,,
Adult Care & Support,Access & Enablement,HOCN,Supplies & Services,Aids & Appliances,NRS Healthcare T/A Nottingham Rehab Ltd,11/06/2013,149.95,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,26/06/2013,6857.12,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,26/06/2013,284,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,19/06/2013,284,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,19/06/2013,284,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,20/06/2013,1660.67,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,05/06/2013,246.33,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,05/06/2013,102.88,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,05/06/2013,1839.54,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,05/06/2013,5559.54,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,03/06/2013,1839.54,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,14/06/2013,445.64,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,26/06/2013,814.06,,,,,,,,
