Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,20/06/2013,109.88,,,,,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,27/06/2013,304.76,,,,,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,27/06/2013,144.6,,,,,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,27/06/2013,125.67,,,,,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,27/06/2013,188.73,,,,,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,27/06/2013,258.57,,,,,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,27/06/2013,267.76,,,,,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,27/06/2013,165.62,,,,,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,27/06/2013,201.68,,,,,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,27/06/2013,101.38,,,,,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,27/06/2013,209.03,,,,,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,20/06/2013,151.14,,,,,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,27/06/2013,140.67,,,,,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,27/06/2013,156.94,,,,,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,27/06/2013,419.83,,,,,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,27/06/2013,426.35,,,,,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,27/06/2013,196.81,,,,,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,27/06/2013,242.17,,,,,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,FRESHVIEW FOODS LTD,28/06/2013,113.47,,,,,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,SMART FOOD,10/06/2013,343.8,,,,,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,06/06/2013,163,,,,,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,06/06/2013,669.49,,,,,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,06/06/2013,470.44,,,,,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,06/06/2013,315.01,,,,,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,06/06/2013,127.11,,,,,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,06/06/2013,151.09,,,,,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,06/06/2013,230.22,,,,,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,06/06/2013,322.45,,,,,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,20/06/2013,144,,,,,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,06/06/2013,293.17,,,,,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,20/06/2013,271.04,,,,,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,20/06/2013,418.38,,,,,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,20/06/2013,114.23,,,,,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,20/06/2013,129.77,,,,,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,20/06/2013,201.59,,,,,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,20/06/2013,117.57,,,,,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,20/06/2013,220.53,,,,,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,06/06/2013,338.17,,,,,,,,
Customer & People Services,Catering & Home Care,CASX,Supplies & Services,Provisions,BIKOLD,20/06/2013,175.49,,,,,,,,
Customer & People Services,Catering & Home Care,CASX,Supplies & Services,Provisions,BIKOLD,20/06/2013,126.85,,,,,,,,
Customer & People Services,Catering & Home Care,CASX,Supplies & Services,Provisions,BIKOLD,20/06/2013,171.94,,,,,,,,
Customer & People Services,Catering & Home Care,CASX,Supplies & Services,Provisions,BIKOLD,27/06/2013,204.94,,,,,,,,
Customer & People Services,Catering & Home Care,CASX,Supplies & Services,Provisions,BIKOLD,27/06/2013,126.48,,,,,,,,
Customer & People Services,Catering & Home Care,CASX,Supplies & Services,Provisions,BIKOLD,27/06/2013,117.53,,,,,,,,
Customer & People Services,Catering & Home Care,CASX,Supplies & Services,Provisions,BIKOLD,06/06/2013,231.21,,,,,,,,
Customer & People Services,Catering & Home Care,CASX,Supplies & Services,Provisions,BIKOLD,06/06/2013,199.2,,,,,,,,
Customer & People Services,Catering & Home Care,CASX,Supplies & Services,Provisions,BIKOLD,18/06/2013,155.14,,,,,,,,
Customer & People Services,Catering & Home Care,CASX,Supplies & Services,Provisions,BIKOLD,18/06/2013,239.66,,,,,,,,
Customer & People Services,Catering & Home Care,CASX,Supplies & Services,Provisions,BIKOLD,18/06/2013,184.31,,,,,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Equipment - Hire,SIEMENS FINANCIAL SERVICES LTD,06/06/2013,553.73,,,,,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Equipment - Hire,SIEMENS FINANCIAL SERVICES LTD,06/06/2013,553.73,,,,,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,Aroma Tea & Coffee Merchants,10/06/2013,189.79,,,,,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,Delice de France,04/06/2013,133.6,,,,,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Equipment - Purchase,ERIC NEVILLE CATERING SUPPLIES LTD,06/06/2013,194.78,,,,,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,Aroma Tea & Coffee Merchants,12/06/2013,226.86,,,,,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,G N BADLEY & SONS,28/06/2013,268.76,,,,,,,,
Customer & People Services,Customer & Registrars Services,LMAA,Supplies & Services,Equipment Purchase,SPECIALIST COMPUTERS CENTRES PLC,03/06/2013,137.37,,,,,,,,
Customer & People Services,Customer & Registrars Services,LMAA,Supplies & Services,Comp Software (Purch / Hire),ESRI (UK) CAMBRIDGE LTD,18/06/2013,2383.7,,,,,,,,
Customer & People Services,Customer & Registrars Services,LMAD,Supplies & Services,Transalation Services,PEARL LINGUISTICS LTD,18/06/2013,114,,,,,,,,
Customer & People Services,Customer & Registrars Services,LSAA,Employees,Course Fees,DUDLEY METROPOLITAN BOROUGH COUNCIL,20/06/2013,130,,,,,,,,
Customer & People Services,Customer & Registrars Services,LSAA,Supplies & Services,Equipment - Hire,OASIS INTERIOR LANDSCAPING,28/06/2013,324.74,,,,,,,,
Customer & People Services,Customer & Registrars Services,LSAA,Supplies & Services,Equipment - Purchase,SPECIALIST COMPUTERS CENTRES PLC,18/06/2013,340.2,,,,,,,,
Customer & People Services,Customer & Registrars Services,LSAB,Premises-Related Expenditure,Grounds Maintenance - Cemeteries,P & W MAINTENANCE CONTRACTING LTD,14/06/2013,4265.24,,,,,,,,
Customer & People Services,Customer & Registrars Services,LSAB,Premises-Related Expenditure,Grounds Maintenance - Cemeteries,P & W MAINTENANCE CONTRACTING LTD,14/06/2013,1388.26,,,,,,,,
Customer & People Services,Customer & Registrars Services,LSAB,Supplies & Services,Subscriptions,NCC SERVICES LIMITED,18/06/2013,1125,,,,,,,,
Customer & People Services,Customer & Registrars Services,LSAB,Supplies & Services,Subscriptions,GOWER CONSULTANTS LIMITED,13/06/2013,876.1,,,,,,,,
Customer & People Services,Customer & Registrars Services,LSAB,Supplies & Services,Postages,NEOPOST LTD 0010012918,18/06/2013,400,,,,,,,,
Customer & People Services,Customer & Registrars Services,LSAB,Supplies & Services,Funeral Services,HARRY EDWARDS & SONS FUNERAL DIRECTORS,18/06/2013,450,,,,,,,,
Customer & People Services,Customer & Registrars Services,LSAB,Supplies & Services,Funeral Services,FALON NAMEPLATES,13/06/2013,148.35,,,,,,,,
Customer & People Services,ICT,CBAC,Employees,Agency Supply Costs,EVOLUTION RECRUITMENT SOLUTIONS LTD,25/06/2013,426.25,,,,,,,,
Customer & People Services,ICT,CBAC,Employees,Agency Supply Costs,EVOLUTION RECRUITMENT SOLUTIONS LTD,25/06/2013,510,,,,,,,,
Customer & People Services,ICT,CBAC,Employees,Agency Supply Costs,EVOLUTION RECRUITMENT SOLUTIONS LTD,05/06/2013,324.5,,,,,,,,
Customer & People Services,ICT,CBAC,Employees,Agency Supply Costs,EVOLUTION RECRUITMENT SOLUTIONS LTD,25/06/2013,595,,,,,,,,
Customer & People Services,ICT,CBAC,Employees,Agency Supply Costs,EVOLUTION RECRUITMENT SOLUTIONS LTD,25/06/2013,671.5,,,,,,,,
Customer & People Services,ICT,CBAC,Employees,Agency Supply Costs,EVOLUTION RECRUITMENT SOLUTIONS LTD,13/06/2013,354.75,,,,,,,,
Customer & People Services,ICT,CBAC,Employees,Agency Supply Costs,EVOLUTION RECRUITMENT SOLUTIONS LTD,13/06/2013,510,,,,,,,,
Customer & People Services,ICT,CBAC,Employees,Agency Supply Costs,EVOLUTION RECRUITMENT SOLUTIONS LTD,13/06/2013,247.5,,,,,,,,
Customer & People Services,ICT,CBAC,Employees,Agency Supply Costs,EVOLUTION RECRUITMENT SOLUTIONS LTD,13/06/2013,535.5,,,,,,,,
Customer & People Services,ICT,CBAC,Employees,Agency Supply Costs,EVOLUTION RECRUITMENT SOLUTIONS LTD,18/06/2013,654.5,,,,,,,,
Customer & People Services,ICT,CBAC,Employees,Agency Supply Costs,EVOLUTION RECRUITMENT SOLUTIONS LTD,18/06/2013,578,,,,,,,,
Customer & People Services,ICT,CBAC,Employees,Agency Supply Costs,EVOLUTION RECRUITMENT SOLUTIONS LTD,25/06/2013,407,,,,,,,,
Customer & People Services,ICT,CBAC,Transport-Related Expenditure,Car Leasing,ALPHABET (UK) FLEET MANAGEMENT LIMITED,28/06/2013,228,,,,,,,,
Customer & People Services,ICT,CBAC,Transport-Related Expenditure,Car Leasing,ALPHABET (UK) FLEET MANAGEMENT LIMITED,28/06/2013,-1077.66,,,,,,,,
Customer & People Services,ICT,CBAC,Transport-Related Expenditure,Car Leasing,ALPHABET (UK) FLEET MANAGEMENT LIMITED,28/06/2013,1077.66,,,,,,,,
Customer & People Services,ICT,CBAF,Supplies & Services,Comp Hardware (Purch / Hire),CCS MEDIA LIMITED,25/06/2013,150,,,,,,,,
Customer & People Services,ICT,CBAF,Supplies & Services,Comp Hardware (Purch / Hire),CCS MEDIA LIMITED,25/06/2013,149,,,,,,,,
Customer & People Services,ICT,CBAF,Supplies & Services,Comp Hardware (Purch / Hire),ORANGE PERSONAL COMM SERVICES LTD,05/06/2013,729,,,,,,,,
Customer & People Services,ICT,CBAF,Supplies & Services,Comp Hardware (Purch / Hire),ORANGE PERSONAL COMM SERVICES LTD,05/06/2013,290.52,,,,,,,,
Customer & People Services,ICT,CBAF,Supplies & Services,Equipment - Purchase,WREKIN SERVICES LTD,24/06/2013,1440.23,,,,,,,,
Customer & People Services,ICT,CBAF,Supplies & Services,Equipment - Purchase,CCS MEDIA LIMITED,24/06/2013,280,,,,,,,,
Customer & People Services,ICT,CBAG,Supplies & Services,Mobile Phones,ORANGE PERSONAL COMM SERVICES LTD,03/06/2013,19082.04,,,,,,,,
Customer & People Services,ICT,CBAG,Supplies & Services,Mobile Phones,ORANGE PERSONAL COMM SERVICES LTD,05/06/2013,4372.24,,,,,,,,
Customer & People Services,ICT,CBAG,Supplies & Services,Mobile Phones,ORANGE PERSONAL COMM SERVICES LTD,05/06/2013,7787.96,,,,,,,,
Customer & People Services,ICT,CBAG,Supplies & Services,Telephones,Digital Exchange Products Ltd,05/06/2013,290,,,,,,,,
Customer & People Services,ICT,CBAG,Supplies & Services,Telephones,VIRGIN MEDIA BUSINESS,05/06/2013,9970.73,,,,,,,,
Customer & People Services,ICT,CBAG,Supplies & Services,Computer Software (Maint),CLICKVIEW LIMITED,25/06/2013,2080.55,,,,,,,,
Customer & People Services,ICT,CBAG,Supplies & Services,Mobile Phones,ORANGE PERSONAL COMM SERVICES LTD,03/06/2013,1149.13,,,,,,,,
Customer & People Services,ICT,CBAG,Supplies & Services,Mobile Phones,ORANGE PERSONAL COMM SERVICES LTD,03/06/2013,1513.53,,,,,,,,
Customer & People Services,ICT,CBAG,Supplies & Services,Mobile Phones,ORANGE PERSONAL COMM SERVICES LTD,03/06/2013,328.66,,,,,,,,
Customer & People Services,ICT,CBAG,Supplies & Services,Other Expenses,PROCESS FLOWS UK LTD,07/06/2013,515.24,,,,,,,,
Customer & People Services,ICT,CBAH,Premises-Related Expenditure,R&M -Building Other,ADT FIRE & SECURITY PLC,07/06/2013,195,,,,,,,,
Customer & People Services,ICT,CBAH,Supplies & Services,Telecomms,JANET (UK),07/06/2013,14236,,,,,,,,
Customer & People Services,ICT,CBAJ,Employees,Staff Training,EXPOTEL HOTEL RESERVATIONS LIMITED,28/06/2013,209.53,,,,,,,,
Customer & People Services,ICT,CBAJ,Employees,Staff Training,EXPOTEL HOTEL RESERVATIONS LIMITED,28/06/2013,209.53,,,,,,,,
Customer & People Services,ICT,CBAJ,Employees,Staff Training,EXPOTEL HOTEL RESERVATIONS LIMITED,24/06/2013,375.44,,,,,,,,
Customer & People Services,ICT,CBAJ,Premises-Related Expenditure,R&M -Building Other,BUSINESS WATCH GUARDING LIMITED,05/06/2013,101.63,,,,,,,,
Customer & People Services,ICT,CBAJ,Supplies & Services,Comp Hardware (Purch / Hire),GARC Limited,05/06/2013,345,,,,,,,,
Customer & People Services,ICT,CBAJ,Supplies & Services,Comp Hardware (Purch / Hire),SPECIALIST COMPUTERS CENTRES PLC,11/06/2013,137.42,,,,,,,,
Customer & People Services,ICT,CBAJ,Supplies & Services,Comp Hardware (Purch / Hire),SPECIALIST COMPUTERS CENTRES PLC,03/06/2013,142.6,,,,,,,,
Customer & People Services,ICT,CBAJ,Supplies & Services,Comp Hardware (Purch / Hire),GARC Limited,18/06/2013,1110,,,,,,,,
Customer & People Services,ICT,CBAJ,Supplies & Services,Comp Software (Purch / Hire),AQ LIMITED,25/06/2013,115.72,,,,,,,,
Customer & People Services,ICT,CBAJ,Supplies & Services,Computer Hardware (Maint),SYNETRIX LTD,05/06/2013,4150,,,,,,,,
Customer & People Services,ICT,CBAJ,Supplies & Services,Telecomms,JANET (UK),07/06/2013,14236,,,,,,,,
Customer & People Services,ICT,CBAJ,Supplies & Services,Telecomms,SYNETRIX LTD,13/06/2013,1079,,,,,,,,
Customer & People Services,ICT,CBAJ,Supplies & Services,Telephones,VIRGIN MEDIA BUSINESS,24/06/2013,125,,,,,,,,
Customer & People Services,ICT,CBAJ,Supplies & Services,Computer Hardware (Maint),EUROPEAN ELECTRONIQUE LTD,04/06/2013,108,,,,,,,,
Customer & People Services,ICT,CBAJ,Supplies & Services,Computer Hardware (Maint),CAPITA BUSINESS SERVICES LTD,04/06/2013,268,,,,,,,,
Customer & People Services,ICT,CBAJ,Supplies & Services,Computer Hardware (Maint),CAPITA BUSINESS SERVICES LTD,04/06/2013,500,,,,,,,,
Customer & People Services,ICT,CBAJ,Supplies & Services,Computer Hardware (Maint),CAPITA BUSINESS SERVICES LTD,04/06/2013,119,,,,,,,,
Customer & People Services,ICT,CBAJ,Supplies & Services,Comp Software (Purch / Hire),ABACUS SOFTWARE LTD,04/06/2013,6828,,,,,,,,
Customer & People Services,ICT,CBAJ,Supplies & Services,External Computer Use,WELLDATA LTD,11/06/2013,5437.11,,,,,,,,
Customer & People Services,ICT,CBAJ,Supplies & Services,Comp Software (Purch / Hire),ESRI (UK) CAMBRIDGE LTD,18/06/2013,3116.3,,,,,,,,
Customer & People Services,ICT,CBAJ,Transport-Related Expenditure,Transport,EXPOTEL HOTEL RESERVATIONS LIMITED,19/06/2013,126,,,,,,,,
Customer & People Services,ICT,CBAK,Employees,Staff Training,EXPOTEL HOTEL RESERVATIONS LIMITED,24/06/2013,245.56,,,,,,,,
Customer & People Services,ICT,CBAK,Supplies & Services,Printing - Print Room,XEROX (UK) LTD,26/06/2013,920.36,,,,,,,,
Customer & People Services,ICT,CBAK,Supplies & Services,Printing - Other,XEROX FINANCE,07/06/2013,800.54,,,,,,,,
Customer & People Services,ICT,CBAK,Supplies & Services,Printing - Other,XEROX FINANCE,07/06/2013,4412.7,,,,,,,,
Customer & People Services,ICT,CBAK,Supplies & Services,Printing - Other,XEROX FINANCE,07/06/2013,14096.47,,,,,,,,
Customer & People Services,ICT,CBAK,Supplies & Services,Stationery,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),03/06/2013,360,,,,,,,,
Customer & People Services,ICT,CBAK,Supplies & Services,Stationery,XEROX OFFICE SUPPLIES 4202,04/06/2013,129.68,,,,,,,,
Customer & People Services,ICT,CBAL,Supplies & Services,Stationery,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),18/06/2013,240,,,,,,,,
Customer & People Services,ICT,CBAL,Supplies & Services,Stationery,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),18/06/2013,120,,,,,,,,
Customer & People Services,ICT,COAB,Supplies & Services,Postages,ROYAL MAIL GROUP LTD,26/06/2013,3400,,,,,,,,
Customer & People Services,ICT,COAB,Supplies & Services,Postages,FREELANCE BUSINESS ASSOCIATES,07/06/2013,315,,,,,,,,
Customer & People Services,ICT,COAB,Supplies & Services,Postages,FREELANCE BUSINESS ASSOCIATES,07/06/2013,315,,,,,,,,
Customer & People Services,ICT,COAC,Supplies & Services,Postages,FP EXECUTIVE AGENCY LTD,27/06/2013,683,,,,,,,,
Customer & People Services,ICT,COAC,Supplies & Services,Printing - Print Room,PITNEY BOWES LTD,07/06/2013,-175,,,,,,,,
Customer & People Services,ICT,COAC,Supplies & Services,Postages,ROYAL MAIL GROUP LTD,07/06/2013,253.31,,,,,,,,
Customer & People Services,ICT,WCAG,Capital Expenditure,Computer Hardware,CCS MEDIA LIMITED,25/06/2013,2098,,,,,,,,
Customer & People Services,ICT,WCAG,Capital Expenditure,Computer Software,BOTTOMLINE TECHNOLOGIES,25/06/2013,3500,,,,,,,,
Customer & People Services,ICT,WCAG,Capital Expenditure,Computer Hardware,Bronze Software Labs Ltd,06/06/2013,3150,,,,,,,,
Customer & People Services,ICT,WCAG,Capital Expenditure,Payments to Contractor,SPECIALIST COMPUTERS CENTRES PLC,18/06/2013,13810,,,,,,,,
Customer & People Services,ICT,WCAG,Capital Expenditure,Payments to Contractor,SPECIALIST COMPUTERS CENTRES PLC,18/06/2013,13810,,,,,,,,
Customer & People Services,ICT,WCAG,Capital Expenditure,Payments to Contractor,SPECIALIST COMPUTERS CENTRES PLC,18/06/2013,910,,,,,,,,
Customer & People Services,ICT,WCAG,Capital Expenditure,Payments to Contractor,SPECIALIST COMPUTERS CENTRES PLC,18/06/2013,630,,,,,,,,
Customer & People Services,ICT,WCAG,Capital Expenditure,Payments to Contractor,SPECIALIST COMPUTERS CENTRES PLC,18/06/2013,3320,,,,,,,,
Customer & People Services,ICT,WCAG,Capital Expenditure,Payments to Contractor,SPECIALIST COMPUTERS CENTRES PLC,18/06/2013,716,,,,,,,,
Customer & People Services,ICT,WCAG,Capital Expenditure,Computer Software,BOTTOMLINE TECHNOLOGIES,06/06/2013,12170,,,,,,,,
Customer & People Services,Library Services,LBNE,Premises-Related Expenditure,Trade Refuse,FCC RECYCLING (UK) LIMITED,25/06/2013,113,,,,,,,,
Customer & People Services,Library Services,LBNE,Premises-Related Expenditure,Trade Refuse,FCC RECYCLING (UK) LIMITED,25/06/2013,107.5,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,24/06/2013,-362.94,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,ULVERSCROFT LARGE PRINT BOOKS LIMITED,10/06/2013,-108.48,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,W F HOWES LTD,26/06/2013,386.4,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,26/06/2013,159.92,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,26/06/2013,507.98,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,26/06/2013,329.03,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,OAKHILL PUBLISHING LTD,26/06/2013,324.74,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,ULVERSCROFT LARGE PRINT BOOKS LIMITED,20/06/2013,127.04,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,ULVERSCROFT LARGE PRINT BOOKS LIMITED,20/06/2013,194,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,ULVERSCROFT LARGE PRINT BOOKS LIMITED,19/06/2013,107.04,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,LIBRARY MAGNA BOOKS LIMITED,19/06/2013,174.27,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,Encyclopedia Britannica (UK) Ltd,19/06/2013,2993,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,AUDIOGO LIMITED,19/06/2013,127.18,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,20/06/2013,146.72,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,20/06/2013,384.16,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,20/06/2013,418.88,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,ULVERSCROFT LARGE PRINT BOOKS LIMITED,20/06/2013,233.6,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,ULVERSCROFT LARGE PRINT BOOKS LIMITED,20/06/2013,111.68,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,20/06/2013,184.67,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,17/06/2013,417.39,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,17/06/2013,444.42,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,17/06/2013,232.89,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,17/06/2013,206.21,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,03/06/2013,322.13,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,03/06/2013,164.95,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,03/06/2013,146.72,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,03/06/2013,113.8,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,03/06/2013,225.64,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,03/06/2013,157.29,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,03/06/2013,244.43,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,03/06/2013,391.26,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Stationery,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),13/06/2013,-130.81,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,ULVERSCROFT LARGE PRINT BOOKS LIMITED,04/06/2013,111.68,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Subscriptions,POETRY ON LOAN,04/06/2013,200,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,20/06/2013,362.94,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,Chana & sons Ltd T/A Wellington Post office,04/06/2013,108.95,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,LIBRARY MAGNA BOOKS LIMITED,04/06/2013,266.23,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,04/06/2013,229.33,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,04/06/2013,429.64,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,04/06/2013,257.86,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,04/06/2013,260.96,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,04/06/2013,251.67,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,AUDIOGO LIMITED,04/06/2013,127.08,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,AUDIOGO LIMITED,04/06/2013,212.88,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,OAKHILL PUBLISHING LTD,04/06/2013,336.38,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,AUDIOGO LIMITED,04/06/2013,134.25,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,AUDIOGO LIMITED,04/06/2013,132.58,,,,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,18/06/2013,484.53,,,,,,,,
