Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount
Adult Social Care,Community Early Help,Supplies & Services,Telephones,EUROPEAN ELECTRONIQUE LTD,02/07/2018,196.2
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Easylink,04/07/2018,170
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Possum Ltd,16/07/2018,795
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Sanctuary Home Care (Lawley Court),23/07/2018,1528.08
Adult Social Care,Community Early Help,Supplies & Services,Medical Consultants Fees,TEC Services Association C.I.C,16/07/2018,400
Adult Social Care,Community Early Help,Supplies & Services,Purchased Meals,Madeley Day Centre,24/07/2018,1008.3
Adult Social Care,Community Early Help,Supplies & Services,Purchased Meals,Woodside Day Centre,24/07/2018,1551.13
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Complete Care Network Ltd,02/07/2018,7499
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,10/07/2018,1190
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,10/07/2018,1797
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,MANGAR INTERNATIONAL LTD,23/07/2018,173.7
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,MANGAR INTERNATIONAL LTD,09/07/2018,2580
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,The Helping Hand Company (Ledbury) Ltd T/A Symmetrikit,20/07/2018,115
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Rise & Recline Ltd,06/07/2018,1337
Adult Social Care,Community Early Help,Employees,Employee Costs Recharged,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,24/07/2018,19662
Adult Social Care,Community Early Help,Employees,Employee Costs Recharged,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,02/07/2018,19662
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,Wellington Pharmacy,24/07/2018,220
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,Wellington Pharmacy,02/07/2018,220
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,A.S. Kitching (Oakengates) Ltd,24/07/2018,200
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,A.S. Kitching (Oakengates) Ltd,24/07/2018,140
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,A.S. Kitching (Oakengates) Ltd,24/07/2018,120
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,Aqueduct Pharmacy,24/07/2018,120
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,Aqueduct Pharmacy,02/07/2018,140
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,Lawley Pharmacy,24/07/2018,120
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,Lawley Pharmacy,02/07/2018,120
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,Lawley Pharmacy,30/07/2018,120
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,Medshires,24/07/2018,140
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,Medshires,24/07/2018,140
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,Medshires,24/07/2018,140
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,Medshires,24/07/2018,140
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,SHREWSBURY & TELFORD HOSPITAL NHS TRUST,02/07/2018,522
Adult Social Care,Community Early Help,Transport-Related Expenditure,Transport Contractors,SALOP MEDICAL SERVICES (UK) LTD,24/07/2018,270
Adult Social Care,Community Early Help,Transport-Related Expenditure,Transport Contractors,SALOP MEDICAL SERVICES (UK) LTD,02/07/2018,150
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Brockton Care LTD,16/07/2018,297.66
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,24/07/2018,833.6
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,24/07/2018,1036
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,30/07/2018,203.6
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,30/07/2018,246.4
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,30/07/2018,103.2
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,30/07/2018,427.6
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,30/07/2018,1857.62
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,30/07/2018,470.8
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,30/07/2018,504
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,30/07/2018,293
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,30/07/2018,195.2
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,30/07/2018,188
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,30/07/2018,322.4
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,30/07/2018,211.2
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,30/07/2018,404.92
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,30/07/2018,323.2
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,30/07/2018,241.6
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,30/07/2018,1015.4
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,30/07/2018,779.2
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,30/07/2018,342.4
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,30/07/2018,322.4
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,24/07/2018,6301.66
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,02/07/2018,6301.66
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,Telford and Wrekin Community Enterprise LTD,26/07/2018,323
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,REDACTED PERSONAL ,09/07/2018,1200
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,26/07/2018,203.98
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,09/07/2018,162.8
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,26/07/2018,183.36
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,26/07/2018,175.95
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,26/07/2018,130.24
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,26/07/2018,489.72
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,26/07/2018,103.88
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,26/07/2018,108.99
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,24/07/2018,291.4
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,24/07/2018,623.28
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,24/07/2018,366.72
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,DIAMOND CARS (TELFORD) LTD,26/07/2018,195.6
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,DIAMOND CARS (TELFORD) LTD,26/07/2018,326
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,DIAMOND CARS (TELFORD) LTD,26/07/2018,753.23
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,DIAMOND CARS (TELFORD) LTD,26/07/2018,987.55
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Transport Contractors,Cartello Ambulance,26/07/2018,220.5
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),Healthwatch,09/07/2018,25000
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Private Contractors,Engaging Communities Staffordshire CIC,02/07/2018,2487.5
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,04/07/2018,449.56
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,04/07/2018,449.56
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,04/07/2018,449.56
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,04/07/2018,449.56
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,04/07/2018,449.56
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,04/07/2018,449.56
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),NHS Telford and Wrekin CCG ,11/07/2018,166500
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,VISION HOMES ASSOCIATION,09/07/2018,49176.6
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Legal Expenses,Kings Chambers,24/07/2018,1012.5
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Legal Expenses,Kings Chambers,11/07/2018,236.25
Adult Social Care,Community Safeguarding & Social Work,Premises-Related Expenditure,Bed & Breakfast Charges,UNIVERSITY OF WOLVERHAMPTON ,09/07/2018,672
Adult Social Care,Community Safeguarding & Social Work,Premises-Related Expenditure,Bed & Breakfast Charges,UNIVERSITY OF WOLVERHAMPTON ,09/07/2018,896
Adult Social Care,Community Safeguarding & Social Work,Premises-Related Expenditure,Bed & Breakfast Charges,Firs Riverside B & B,26/07/2018,815
Adult Social Care,Community Safeguarding & Social Work,Premises-Related Expenditure,Bed & Breakfast Charges,Firs Riverside B & B,26/07/2018,425
Adult Social Care,Community Safeguarding & Social Work,Premises-Related Expenditure,Bed & Breakfast Charges,Willow House,26/07/2018,880
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Thornbury Nursing Services,16/07/2018,10988.98
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Thornbury Nursing Services,16/07/2018,25572.15
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Respite Care,COVERAGE CARE SERVICES LTD (SY3),11/07/2018,2781
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Nursing Expenditure,COVERAGE CARE SERVICES LTD (SY3),11/07/2018,52839
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD (SY3),09/07/2018,27188.57
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD (SY3),09/07/2018,13500
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD (SY3),09/07/2018,3593.58
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Daycare Expenditure,COVERAGE CARE SERVICES LTD (SY3),09/07/2018,5781
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,ACCORD HOUSING ASSOCIATION LTD ,24/07/2018,25186.91
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD (SY3),11/07/2018,57694.7
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,SUPREME HOME CARE,09/07/2018,7698.88
Adult Social Care,Community Safeguarding & Social Work,Premises-Related Expenditure,General Rents,BOURNVILLE VILLAGE TRUST,09/07/2018,12146.94
Adult Social Care,Community Safeguarding & Social Work,Premises-Related Expenditure,General Rents,BOURNVILLE VILLAGE TRUST,09/07/2018,11981.85
Adult Social Care,Community Safeguarding & Social Work,Premises-Related Expenditure,General Rents,NHS Telford and Wrekin CCG ,26/07/2018,28848.97
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,CREATIVE SUPPORT LTD,09/07/2018,38860.06
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,CREATIVE SUPPORT LTD,09/07/2018,38860.06
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,09/07/2018,30775.24
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,09/07/2018,32427.43
Adult Social Care,Community Safeguarding & Social Work,Employees,Other Training,Challenging Behaviour Foundation,18/07/2018,1000
Adult Social Care,Community Safeguarding & Social Work,Premises-Related Expenditure,Bed & Breakfast Charges,PARK INN TELFORD,04/07/2018,1785
Adult Social Care,Early Help & Support Directorate,Supplies & Services,Medical Consultants Fees,National Development Team for Inclusion,18/07/2018,31600
Adult Social Care,Early Help & Support Directorate,Premises-Related Expenditure,Hire Of Rooms,MEETING POINT TRUST LTD,18/07/2018,174.3
Adult Social Care,Early Help & Support Directorate,Premises-Related Expenditure,Hire Of Rooms,MEETING POINT TRUST LTD,05/07/2018,246.3
Adult Social Care,Early Help & Support Directorate,Supplies & Services,Consultancy,Review Consulting Ltd,09/07/2018,11772.12
Adult Social Care,Service Improvement & Efficiency,Supplies & Services,Telecomms,BT GLOBAL SERVICES ,10/07/2018,614.27
Adult Social Care,Service Improvement & Efficiency,Supplies & Services,Comp Software (Purch / Hire),TRI-X-CHILDCARE LTD,24/07/2018,27600
Adult Social Care,Service Improvement & Efficiency,Capital Expenditure,Payments to Contractor,LIQUIDLOGIC LIMITED,23/07/2018,2240.76
Adult Social Care,Service Improvement & Efficiency,Capital Expenditure,Payments to Contractor,LIQUIDLOGIC LIMITED,23/07/2018,2105
Adult Social Care,Service Improvement & Efficiency,Capital Expenditure,Payments to Contractor,Permanent Futures Ltd,17/07/2018,8125
Adult Social Care,Service Improvement & Efficiency,Capital Expenditure,Payments to Contractor,Permanent Futures Ltd,05/07/2018,8125
Adult Social Care,Service Improvement & Efficiency,Capital Expenditure,Payments to Contractor,LIQUIDLOGIC LIMITED,02/07/2018,1775.95
"Business, Development & Employment","AD - Development, Business & Housing",Supplies & Services,Registration / Licence Fees,EQUIFAX PLC,19/07/2018,174.15
"Business, Development & Employment","AD - Development, Business & Housing",Capital Expenditure,Legal Fees,Sharpe Pritchard LLP,25/07/2018,1926.7
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,24/07/2018,277.2
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,10/07/2018,263.7
"Business, Development & Employment",Development Management & Planning Policy,Employees,Agency Supply Costs,The Oyster Partnership Ltd,10/07/2018,1367.61
"Business, Development & Employment",Development Management & Planning Policy,Employees,Agency Supply Costs,The Oyster Partnership Ltd,12/07/2018,1287
"Business, Development & Employment",Development Management & Planning Policy,Employees,Agency Supply Costs,Park Avenue Recruitment Limited,31/07/2018,1155.3
"Business, Development & Employment",Development Management & Planning Policy,Employees,Agency Supply Costs,G2 Recruitment Solutions,23/07/2018,1900
"Business, Development & Employment",Development Management & Planning Policy,Employees,Agency Supply Costs,G2 Recruitment Solutions,25/07/2018,2000
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Conference Expenses,Institute of Ecology and Environmental Management,11/07/2018,175
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,16/07/2018,103.68
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,16/07/2018,1875
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,DOOR LOADING SERVICES UK LTD,02/07/2018,300
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,JCE & SONS LTD,04/07/2018,103
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,JCE & SONS LTD,04/07/2018,327.89
"Business, Development & Employment",Estates & Investment,Supplies & Services,Telephones,MIDLAND TML,30/07/2018,649.04
"Business, Development & Employment",Estates & Investment,Supplies & Services,Security Services,SECURITY WISE LTD,18/07/2018,130
"Business, Development & Employment",Estates & Investment,Supplies & Services,Telephones,VIRGIN MEDIA BUSINESS LTD ,04/07/2018,374.63
"Business, Development & Employment",Estates & Investment,Supplies & Services,Telephones,VIRGIN MEDIA BUSINESS ,30/07/2018,374.63
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Gas,West Mercia Energy (WME),20/07/2018,418.12
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),16/07/2018,214.88
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),16/07/2018,762.36
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),16/07/2018,262.43
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),16/07/2018,506.93
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),16/07/2018,217.56
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Water Rates,WATER PLUS FORMERLY SEVERN TRENT WATER LTD,30/07/2018,249.38
"Business, Development & Employment",Estates & Investment,Supplies & Services,Advertising,3S PRINT & DISPLAY LIMITED,26/07/2018,175
"Business, Development & Employment",Estates & Investment,Supplies & Services,Advertising,3S PRINT & DISPLAY LIMITED,18/07/2018,145
"Business, Development & Employment",Estates & Investment,Supplies & Services,Advertising,3S PRINT & DISPLAY LIMITED,18/07/2018,175
"Business, Development & Employment",Estates & Investment,Supplies & Services,Other Services,CreditCall Limited,26/07/2018,300
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,18/07/2018,397.05
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Insurance Loss Over 250,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,19/07/2018,5011
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Insurance Loss Over 250,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,19/07/2018,7518.77
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,30/07/2018,193.57
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,13/07/2018,2889.2
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,04/07/2018,1050.03
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,16/07/2018,129.05
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,17/07/2018,974.86
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,06/07/2018,982
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,NOBRIDGE LTD,03/07/2018,210
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Insurance Loss Over 250,JCE & SONS LTD,04/07/2018,1765.65
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,JCE & SONS LTD,17/07/2018,410.38
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,WPD MIDLANDS NETWORKS SERVICES LTD,17/07/2018,2695.2
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Insurance Loss Over 250,A1 Glass & Glazing (Shropshire) Limited,31/07/2018,420
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Buildings DLO Charge,DMW ENVIRONMENTAL SAFETY LTD,10/07/2018,455
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,DMW ENVIRONMENTAL SAFETY LTD,06/07/2018,225
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,A HAND SERVICES (Dyno Rod) LTD,26/07/2018,750
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,LANDMARK INFORMATION GROUP LTD,31/07/2018,289
"Business, Development & Employment",Estates & Investment,Supplies & Services,Other Expenses,LANDMARK INFORMATION GROUP LTD,01/08/2018,289
"Business, Development & Employment",Estates & Investment,Supplies & Services,Security Services,SECURITY WISE LTD,19/07/2018,1561
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GO PLANT SWEEPERS T/A SHROPSHIRE ROADSWEEPERS,18/07/2018,250
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Insurance Loss Over 250,VANGUARD ALARMS LIMITED,19/07/2018,806.74
"Business, Development & Employment",Estates & Investment,Supplies & Services,Other Services,VEOLIA ES (UK) LTD,23/07/2018,137.04
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Insurance Loss Over 250,RAPID SECURE LTD,30/07/2018,245
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),20/07/2018,161.95
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),20/07/2018,116.78
"Business, Development & Employment",Estates & Investment,Third Party Payments,Voluntary Bodies,SEVERN GORGE COUNTRYSIDE TRUST,04/07/2018,57005.67
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,BRITISH GAS BUSINESS ELEC,16/07/2018,301.35
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,HYDRO-TECH ENVIRONMENTAL LLP,17/07/2018,150
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Water Rates,WATER PLUS FORMERLY SEVERN TRENT WATER LTD,25/07/2018,173.6
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Water Rates,WATER PLUS FORMERLY SEVERN TRENT WATER LTD,25/07/2018,1324.9
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Water Rates,WATER PLUS FORMERLY SEVERN TRENT WATER LTD,25/07/2018,872.09
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,17/07/2018,114.42
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,RMF LANDSCAPING LTD,13/07/2018,258.6
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,RMF LANDSCAPING LTD,13/07/2018,392.62
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,NOBRIDGE LTD,03/07/2018,320
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,JCE & SONS LTD,31/07/2018,699.1
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,COOL SERVICES LTD,31/07/2018,143
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,George Birchall Limited,17/07/2018,101.33
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,Churches Fire Security Ltd,31/07/2018,135.5
"Business, Development & Employment",Estates & Investment,Supplies & Services,Security Services,Churches Fire Security Ltd,17/07/2018,346.75
"Business, Development & Employment",Estates & Investment,Supplies & Services,Security Services,Churches Fire Security Ltd,17/07/2018,108
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Contract Cleaning,BUSY BEE CLEANING,05/07/2018,288.75
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Contract Cleaning,BUSY BEE CLEANING,06/07/2018,299.75
"Business, Development & Employment",Estates & Investment,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,26/07/2018,1185.6
"Business, Development & Employment",Estates & Investment,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,18/07/2018,1494.35
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,E.ON UK PLC ,16/07/2018,2541.58
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Gas,E.ON ,20/07/2018,102.46
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,MITIE LANDSCAPES LTD,06/07/2018,186.95
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Contract Cleaning,PRINCIPAL HYGIENE SYSTEMS,18/07/2018,275.43
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Fire Alarms & Emergency Light,SECURITY WISE LTD,17/07/2018,160
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,SECURITY WISE LTD,19/07/2018,160
"Business, Development & Employment",Estates & Investment,Supplies & Services,Security Services,SECURITY WISE LTD,23/07/2018,190
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,SPACECARE,06/07/2018,111
"Business, Development & Employment",Estates & Investment,Supplies & Services,Security Services,SITEWATCH,25/07/2018,882
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,GO PLANT SWEEPERS T/A SHROPSHIRE ROADSWEEPERS,13/07/2018,125
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,GO PLANT SWEEPERS T/A SHROPSHIRE ROADSWEEPERS,13/07/2018,259.25
"Business, Development & Employment",Estates & Investment,Supplies & Services,Security Services,VANGUARD ALARMS LIMITED,19/07/2018,275.69
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Contract Cleaning,VEOLIA ES (UK) LTD,25/07/2018,145.74
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Contract Cleaning,VEOLIA ES (UK) LTD,16/07/2018,299.43
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,FCC Environment Services (UK) Ltd ,25/07/2018,9666.33
"Business, Development & Employment",Estates & Investment,Supplies & Services,Security Services,FCC Environment Services (UK) Ltd ,25/07/2018,8226.25
