Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount
,,,,,,
Adult Social Care,Community Early Help,Premises-Related Expenditure,R&M -Buildings DLO Charge,WINDOW & DOOR CONTRACT SERVICES,09/02/2018,161.84
Adult Social Care,Community Early Help,Premises-Related Expenditure,R&M -Building Other,SHROPSHIRE BLINDS & AWNINGS LIMITED,09/02/2018,231
Adult Social Care,Community Early Help,Premises-Related Expenditure,R&M - Pavillions,Dawley Town Hall,09/02/2018,200
Adult Social Care,Community Early Help,Premises-Related Expenditure,R&M -Building Other,PP ELECTRICAL SERVICES (Shropshire) Ltd,15/02/2018,148.75
Adult Social Care,Community Early Help,Premises-Related Expenditure,Trade Refuse,FCC Recycling (UK) Ltd ,15/02/2018,236.34
Adult Social Care,Community Early Help,Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,02/02/2018,175
Adult Social Care,Community Early Help,Supplies & Services,Translation Services,Severn intervention services,15/02/2018,325
Adult Social Care,Community Early Help,Supplies & Services,Out of School Activities Insurance,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),02/02/2018,251.06
Adult Social Care,Community Early Help,Premises-Related Expenditure,Hire Of Rooms,THE SALVATION ARMY,20/02/2018,120
Adult Social Care,Community Early Help,Premises-Related Expenditure,Hire Of Rooms,THE SALVATION ARMY,20/02/2018,180
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Easylink,23/02/2018,240.3
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Easylink,22/02/2018,184.5
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),23/02/2018,125
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),23/02/2018,125
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),23/02/2018,379
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),23/02/2018,125
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),23/02/2018,125
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),23/02/2018,125
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),23/02/2018,209
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),23/02/2018,125
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Primchurch Kennels & Cattery,06/02/2018,210
Adult Social Care,Community Early Help,Supplies & Services,Other Expenses,TELFORD & WREKIN SERVICES LTD,28/02/2018,188.37
Adult Social Care,Community Early Help,Supplies & Services,Other Expenses,Frontier Medical Group,09/02/2018,104.5
Adult Social Care,Community Early Help,Supplies & Services,Other Expenses,Frontier Medical Group,28/02/2018,114.5
Adult Social Care,Community Early Help,Premises-Related Expenditure,Aids & Adaptions,BERWICK CARE EQUIPMENT LTD,02/02/2018,599
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,02/02/2018,453.64
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,20/02/2018,680.65
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,26/02/2018,327.71
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,26/02/2018,774.11
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,05/02/2018,300.27
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,OpeMed (Europe) Ltd,05/02/2018,159
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Care & Independence,28/02/2018,150
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Complete Care Network Ltd,23/02/2018,779.5
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Complete Care Network Ltd,23/02/2018,439.75
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,16/02/2018,599
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,08/02/2018,595
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,08/02/2018,599
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,13/02/2018,599
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,13/02/2018,595
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,NRS Healthcare T/A Nottingham Rehab Ltd,09/02/2018,118.32
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,NRS Healthcare T/A Nottingham Rehab Ltd,12/02/2018,268.86
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,NRS Healthcare T/A Nottingham Rehab Ltd,27/02/2018,130.06
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,OSPREY HEALTHCARE LTD,06/02/2018,450
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,OSPREY HEALTHCARE LTD,02/02/2018,334
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,OSPREY HEALTHCARE LTD,06/02/2018,295
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,POWERGUARDS INC RAMPING SYSTEMS,16/02/2018,1985
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,POWERGUARDS INC RAMPING SYSTEMS,16/02/2018,3335
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,SARABEC LIMITED,02/02/2018,1152.42
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,SARABEC LIMITED,22/02/2018,870
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,SARABEC LIMITED,22/02/2018,249.95
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,TOTAL HYGIENE LIMITED,28/02/2018,524
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,16/02/2018,4700.5
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,16/02/2018,153.76
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,16/02/2018,110
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,16/02/2018,307.52
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,16/02/2018,110
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,09/02/2018,149.06
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,02/02/2018,1158.33
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Healthcare Matters,16/02/2018,3170
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Healthcare Matters,16/02/2018,-1709
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Healthcare Matters,06/02/2018,1285
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Rise & Recline Ltd,27/02/2018,1269
Adult Social Care,Community Early Help,Employees,Employee Costs Recharged,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,06/02/2018,19662
Adult Social Care,Community Early Help,Employees,Employee Costs Recharged,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,23/02/2018,19662
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,A.S. Kitching (Oakengates) Ltd,06/02/2018,120
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,Aqueduct Pharmacy,06/02/2018,120
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,Lawley Pharmacy,06/02/2018,140
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,Medshires,06/02/2018,280
Adult Social Care,Community Early Help,Supplies & Services,Subscriptions,Direct Health Homecare Limited,23/02/2018,152.4
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,23/02/2018,130.1
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,28/02/2018,213.36
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,28/02/2018,111.55
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,28/02/2018,277.44
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,23/02/2018,132.66
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,23/02/2018,270.82
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,23/02/2018,402.48
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,23/02/2018,148.65
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,23/02/2018,140.4
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,23/02/2018,167.64
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,23/02/2018,322.85
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,23/02/2018,125.79
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,23/02/2018,156.02
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,23/02/2018,137.16
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,23/02/2018,152.4
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,23/02/2018,134.66
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,23/02/2018,134.66
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,23/02/2018,111.8
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,23/02/2018,152.4
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,23/02/2018,447.2
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,23/02/2018,152.4
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,23/02/2018,111.55
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,23/02/2018,137.16
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,23/02/2018,254.83
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,23/02/2018,248.71
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,23/02/2018,167.64
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,23/02/2018,155.77
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,23/02/2018,100.75
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,23/02/2018,1434.78
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,23/02/2018,432.96
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,23/02/2018,506.16
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,23/02/2018,719.89
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,23/02/2018,667.8
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,23/02/2018,137.16
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,02/02/2018,6301.66
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,28/02/2018,6301.66
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,SHREWSBURY & TELFORD HOSPITAL NHS TRUST,06/02/2018,875
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,Reacted Personal Information,15/02/2018,1190
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,Reacted Personal Information,15/02/2018,126
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,Reacted Personal Information,23/02/2018,1870
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,15/02/2018,199.92
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ,15/02/2018,127.68
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,DIAMOND CARS (TELFORD) LTD,15/02/2018,260.8
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,DIAMOND CARS (TELFORD) LTD,15/02/2018,828
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Transport Contractors,SALOP MEDICAL SERVICES (UK) LTD,15/02/2018,120
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Transport Contractors,SALOP MEDICAL SERVICES (UK) LTD,15/02/2018,180
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,11/02/2018,449.56
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,11/02/2018,449.56
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,11/02/2018,449.56
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,11/02/2018,449.56
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,11/02/2018,449.56
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,11/02/2018,449.56
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,11/02/2018,449.56
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,11/02/2018,449.56
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,11/02/2018,449.56
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,11/02/2018,449.56
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,11/02/2018,449.56
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,11/02/2018,449.56
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),NHS Telford and Wrekin CCG ,09/02/2018,72417
Adult Social Care,Community Safeguarding & Social Work,Premises-Related Expenditure,General Rents,BOURNVILLE VILLAGE TRUST,09/02/2018,71908.65
Adult Social Care,Community Safeguarding & Social Work,Premises-Related Expenditure,General Rents,BOURNVILLE VILLAGE TRUST,23/02/2018,71908.65
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Respite Care,BOURNVILLE VILLAGE TRUST,25/02/2018,53186.36
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,BOURNVILLE VILLAGE TRUST,25/02/2018,132965.89
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Other Care Purchasing,NHS Telford and Wrekin CCG ,09/02/2018,54906
Adult Social Care,Community Safeguarding & Social Work,Premises-Related Expenditure,Bed & Breakfast Charges,Reacted Personal Information,09/02/2018,600
Adult Social Care,Community Safeguarding & Social Work,Premises-Related Expenditure,Bed & Breakfast Charges,Reacted Personal Information,09/02/2018,640
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Martworld Care Services Limited,21/02/2018,5376
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Respite Care,COVERAGE CARE SERVICES LTD (SY3),23/02/2018,2790
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Nursing Expenditure,COVERAGE CARE SERVICES LTD (SY3),23/02/2018,64170
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Nursing Expenditure,COVERAGE CARE SERVICES LTD (SY3),23/02/2018,-2430
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD (SY3),15/02/2018,47133.29
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD (SY3),15/02/2018,7426.72
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Daycare Expenditure,COVERAGE CARE SERVICES LTD (SY3),15/02/2018,5973.7
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,ACCORD HOUSING ASSOCIATION LTD ,15/02/2018,26026.92
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD (SY3),23/02/2018,57694.7
Adult Social Care,Community Safeguarding & Social Work,Premises-Related Expenditure,General Rents,BOURNVILLE VILLAGE TRUST,15/02/2018,12146.94
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,ACCORD HOUSING ASSOCIATION LTD ,23/02/2018,103461.62
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,CREATIVE SUPPORT LTD,15/02/2018,38860.06
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,CREATIVE SUPPORT LTD,23/02/2018,38860.06
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,CREATIVE SUPPORT LTD,23/02/2018,38860.06
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,CREATIVE SUPPORT LTD,26/02/2018,38860.06
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,15/02/2018,31802.85
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,15/02/2018,33508.34
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,15/02/2018,31802.85
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,15/02/2018,33508.34
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,15/02/2018,26652.79
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,15/02/2018,28194.99
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,16/02/2018,33508.34
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Legal Expenses,WEIGHMANS,15/02/2018,1287.5
Adult Social Care,Early Help & Support Directorate,Premises-Related Expenditure,Hire Of Rooms,KETLEY PARISH COUNCIL,09/02/2018,1392
Adult Social Care,Service Improvement & Efficiency,Supplies & Services,Telecomms,BT GLOBAL SERVICES ,06/02/2018,572.97
Adult Social Care,Service Improvement & Efficiency,Supplies & Services,Telecomms,BT GLOBAL SERVICES ,26/02/2018,573.87
Adult Social Care,Service Improvement & Efficiency,Supplies & Services,Furniture - Purchase,CHRISBEON OFFICE SUPPLIES,16/02/2018,302.25
Adult Social Care,Service Improvement & Efficiency,Capital Expenditure,Payments to Contractor,LIQUIDLOGIC LIMITED,16/02/2018,114285
Adult Social Care,Service Improvement & Efficiency,Capital Expenditure,Payments to Contractor,LIQUIDLOGIC LIMITED,16/02/2018,38095
Adult Social Care,Service Improvement & Efficiency,Capital Expenditure,Payments to Contractor,Permanent Futures Ltd,20/02/2018,9750
Adult Social Care,Service Improvement & Efficiency,Capital Expenditure,Payments to Contractor,LIQUIDLOGIC LIMITED,21/02/2018,21525
Adult Social Care,Service Improvement & Efficiency,Capital Expenditure,Payments to Contractor,ICT Revolutions Ltd,22/02/2018,13475
Adult Social Care,Service Improvement & Efficiency,Capital Expenditure,Payments to Contractor,LIQUIDLOGIC LIMITED,07/02/2018,40320
Adult Social Care,Service Improvement & Efficiency,Capital Expenditure,Payments to Contractor,LIQUIDLOGIC LIMITED,02/02/2018,66552
"Business, Development & Employment","AD - Development, Business & Housing",Employees,Course Fees,APSE (MANCHESTER),07/02/2018,175
"Business, Development & Employment","AD - Development, Business & Housing",Supplies & Services,Registration / Licence Fees,EQUIFAX PLC,26/02/2018,131.53
"Business, Development & Employment","AD - Development, Business & Housing",Supplies & Services,Conference Expenses,GOVNET COMMUNICATIONS,02/02/2018,385
"Business, Development & Employment","AD - Development, Business & Housing",Supplies & Services,Legal,FREETHS LLP ,06/02/2018,279.5
"Business, Development & Employment","AD - Development, Business & Housing",Supplies & Services,Conference Expenses,London Development Events Limited,13/02/2018,499
"Business, Development & Employment","AD - Development, Business & Housing",Capital Expenditure,Legal Fees,FREETHS LLP ,06/02/2018,239.5
"Business, Development & Employment","AD - Development, Business & Housing",Capital Expenditure,Other Capital Expenditure,NUPLACE LTD,12/02/2018,880222.22
"Business, Development & Employment","AD - Development, Business & Housing",Capital Expenditure,Other Capital Expenditure,NUPLACE LTD,12/02/2018,700000
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,13/02/2018,332.64
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,02/02/2018,194.04
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,21/02/2018,304.92
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,28/02/2018,249.48
"Business, Development & Employment",Development Management & Planning Policy,Employees,Staff Training,No 5 Chambers ,27/02/2018,555
"Business, Development & Employment",Development Management & Planning Policy,Employees,Staff Training,No 5 Chambers ,27/02/2018,277.5
"Business, Development & Employment",Development Management & Planning Policy,Employees,Recruitment Advertising,BLUETOWNONLINE LTD,02/02/2018,479
"Business, Development & Employment",Development Management & Planning Policy,Employees,Recruitment Advertising,Onefix Recruitment Ltd,02/02/2018,2115
"Business, Development & Employment",Development Management & Planning Policy,Employees,Agency Supply Costs,Ultimate Finance Ltd,16/02/2018,900
"Business, Development & Employment",Development Management & Planning Policy,Employees,Agency Supply Costs,Ultimate Finance Ltd,22/02/2018,620
"Business, Development & Employment",Development Management & Planning Policy,Employees,Agency Supply Costs,Ultimate Finance Ltd,28/02/2018,960
"Business, Development & Employment",Development Management & Planning Policy,Employees,Agency Supply Costs,The Oyster Partnership Ltd,14/02/2018,1308.24
"Business, Development & Employment",Development Management & Planning Policy,Employees,Agency Supply Costs,The Oyster Partnership Ltd,14/02/2018,1313.16
"Business, Development & Employment",Development Management & Planning Policy,Employees,Agency Supply Costs,The Oyster Partnership Ltd,01/02/2018,2442
"Business, Development & Employment",Development Management & Planning Policy,Employees,Agency Supply Costs,The Oyster Partnership Ltd,28/02/2018,1279.5
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Consultants Fees,IRONBRIDGE GORGE MUSEUM TRUST LTD,08/02/2018,10947.95
"Business, Development & Employment",Development Management & Planning Policy,Employees,Staff Training,No 5 Chambers ,27/02/2018,138.75
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,21/02/2018,249.48
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,28/02/2018,277.2
"Business, Development & Employment",Development Management & Planning Policy,Employees,Staff Training,No 5 Chambers ,27/02/2018,277.5
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Subscriptions,HAYMARKET BUSINESS MEDIA,06/02/2018,195
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Subscriptions,HAYMARKET BUSINESS MEDIA,06/02/2018,195
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Equipment - Repair,STANFORD MARSH FINANCE LTD,01/02/2018,396.75
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Water Rates,WATER PLUS FORMERLY SEVERN TRENT WATER LTD,20/02/2018,149.44
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,02/02/2018,148.28
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,02/02/2018,303.98
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,WREKIN DRAIN SERVICES LTD,06/02/2018,240
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -SCC Planned,Reacted Personal Information,21/02/2018,377.49
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Gas,West Mercia Energy (WME),16/02/2018,195.77
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Gas,West Mercia Energy (WME),16/02/2018,359.94
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Gas,West Mercia Energy (WME),16/02/2018,932.37
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),23/02/2018,342.26
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),23/02/2018,599.97
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),23/02/2018,511.93
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),23/02/2018,959.5
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),23/02/2018,1208.05
"Business, Development & Employment",Estates & Investment,Supplies & Services,Telephones,VIRGIN MEDIA BUSINESS LTD,27/02/2018,374.63
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,BRITISH GAS BUSINESS ELEC ,27/02/2018,928.34
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,NPOWER  ELECTRICITY,21/02/2018,265.33
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,NPOWER ELECTRICITY,23/02/2018,126.9
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Water Rates,WATER PLUS FORMERLY SEVERN TRENT WATER LTD,01/02/2018,239.83
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,13/02/2018,141
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,02/02/2018,195
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,WINDOW & DOOR CONTRACT SERVICES,23/02/2018,160.56
