Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,04/04/2013,225,,,,,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,08/04/2013,797.01,,,,,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,08/04/2013,843.2,,,,,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,08/04/2013,398.66,,,,,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,30/04/2013,225,,,,,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,30/04/2013,225,,,,,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,30/04/2013,225,,,,,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,ABC CARE LTD,16/04/2013,7375,,,,,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,05/04/2013,1860,,,,,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,08/04/2013,1839.54,,,,,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,04/04/2013,959.98,,,,,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,04/04/2013,308.58,,,,,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,03/04/2013,281.25,,,,,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,12/04/2013,-200.64,,,,,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,30/04/2013,900.06,,,,,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,30/04/2013,707.19,,,,,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,30/04/2013,1618.29,,,,,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,03/04/2013,281.25,,,,,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,15/04/2013,281.25,,,,,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,12/04/2013,5198.9,,,,,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,12/04/2013,1412.88,,,,,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,04/04/2013,840,,,,,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,04/04/2013,281.25,,,,,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,04/04/2013,3343.66,,,,,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,10/04/2013,10676.6,,,,,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,10/04/2013,13285.67,,,,,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,08/04/2013,112.56,,,,,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,04/04/2013,250,,,,,
Care & Support,Access & Enablement,JCAF,Transport-Related Expenditure,Travelling Expenses General,EXPOTEL HOTEL RESERVATIONS LIMITED,17/04/2013,386,,,,,
Care & Support,Access & Enablement,JCAF,Transport-Related Expenditure,Travelling Expenses General,EXPOTEL HOTEL RESERVATIONS LIMITED,17/04/2013,344,,,,,
Care & Support,Adult Social Care Commissioning,HCAL,Supplies & Services,Other Grants (Expenses),POHWER,19/04/2013,8375.75,,,,,
Care & Support,Adult Social Care Commissioning,HHAB,Premises-Related Expenditure,Trade Refuse,PHS DATASHRED,10/04/2013,421,,,,,
Care & Support,Adult Social Care Commissioning,HHAB,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,17/04/2013,531.32,,,,,
Care & Support,Adult Social Care Commissioning,HJAA,Supplies & Services,Other Grants (Expenses),INDEPENDENT LIVING PARTNERSHIP LTD,15/04/2013,14553.6,,,,,
Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD,15/04/2013,42520.9,,,,,
Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,17/04/2013,-2626.88,,,,,
Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,17/04/2013,-3002.37,,,,,
Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,17/04/2013,-4328.58,,,,,
Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,17/04/2013,-3607.15,,,,,
Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,ACCORD HOUSING ASSOCIATION LIMITED,04/04/2013,103461.64,,,,,
Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,17/04/2013,44728.5,,,,,
Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,17/04/2013,27144.32,,,,,
Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,17/04/2013,3236.4,,,,,
Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,17/04/2013,37273.75,,,,,
Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,17/04/2013,31024.37,,,,,
Care & Support,Assessment & Case Management,HLAK,Supplies & Services,Other Grants (Expenses),S STAFFORDSHIRE & SHROPSHIRE HEALTHCARE,15/04/2013,50000,,,,,
Care & Support,Assessment & Case Management,HLAL,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,11/04/2013,-3132,,,,,
Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,STONHAM HOUSING ASSOCIATION LIMITED,02/04/2013,1957.28,,,,,
Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,STONHAM HOUSING ASSOCIATION LIMITED,02/04/2013,811.44,,,,,
Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,STONHAM HOUSING ASSOCIATION LIMITED,02/04/2013,2028.6,,,,,
Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,STONHAM HOUSING ASSOCIATION LIMITED,02/04/2013,1834.95,,,,,
Care & Support,Assessment & Case Management,HOAQ,Employees,Staff Training,The Enabling Technology & Training Network,11/04/2013,215,,,,,
Care & Support,Assessment & Case Management,HOAT,Supplies & Services,Mobile Phones,ORANGE PCS LTD,03/04/2013,135,,,,,
Care & Support,Assessment & Case Management,HOBJ,Supplies & Services,Stationery,PARAGON,10/04/2013,212,,,,,
Care & Support,Assessment & Case Management,HOBN,Third Party Payments,Homecare Expenditure,CLEANIT CLEANING SERVICES,05/04/2013,275,,,,,
Care & Support,Assessment & Case Management,HOBN,Transport-Related Expenditure,Transport,NSL Limited t/a Patient First Group,25/04/2013,158,,,,,
Care & Support,Assessment & Case Management,HOCR,Supplies & Services,Consultants Fees,GARNER MOORE LTD,29/04/2013,1350,,,,,
Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Computer Software (Maint),OLM SYSTEMS LTD,15/04/2013,6403.5,,,,,
Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Computer Software (Maint),OLM SYSTEMS LTD,15/04/2013,1312.5,,,,,
Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Computer Software (Maint),OLM SYSTEMS LTD,15/04/2013,5050,,,,,
Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Computer Software (Maint),OLM SYSTEMS LTD,15/04/2013,5312.5,,,,,
Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Computer Software (Maint),OLM SYSTEMS LTD,15/04/2013,750,,,,,
Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Computer Software (Maint),OLM SYSTEMS LTD,15/04/2013,6999.79,,,,,
Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Computer Software (Maint),OLM SYSTEMS LTD,15/04/2013,5121.11,,,,,
Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Computer Software (Maint),OLM SYSTEMS LTD,15/04/2013,597.46,,,,,
