Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,09/04/2013,392.13,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,09/04/2013,263.73,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,09/04/2013,293.31,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,08/04/2013,179.56,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,08/04/2013,406.16,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,OAKHILL PUBLISHING LTD,08/04/2013,326.3,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,08/04/2013,124.89,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,08/04/2013,317.21,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,08/04/2013,105.68,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,08/04/2013,222.61,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,08/04/2013,121.79,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,19/04/2013,211.42,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,LIBRARY MAGNA BOOKS LIMITED,16/04/2013,153.02,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,19/04/2013,283.16,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,19/04/2013,206.71,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,ULVERSCROFT LARGE PRINT BOOKS LIMITED,08/04/2013,191.6,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,AUDIOGO LIMITED,23/04/2013,212.88,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,AUDIOGO LIMITED,23/04/2013,138.8,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,AUDIOGO LIMITED,08/04/2013,132.6,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,AUDIOGO LIMITED,23/04/2013,231.75,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,ULVERSCROFT LARGE PRINT BOOKS LIMITED,23/04/2013,189.2,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,ULVERSCROFT LARGE PRINT BOOKS LIMITED,23/04/2013,240.8,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,AUDIOGO LIMITED,23/04/2013,139.78,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,03/04/2013,196.89,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,W F HOWES LTD,03/04/2013,290.8,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,W F HOWES LTD,03/04/2013,531.2,,,,,
Customer & People Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BIBLIOGRAPHIC DATA SERVICES LIMITED,16/04/2013,1064,,,,,
Customer & People Services,Library Services,LLAC,Supplies & Services,Computer Software (Maint),AXIELL LTD,16/04/2013,1619.58,,,,,
Customer & People Services,Library Services,LLAC,Supplies & Services,Computer Software (Maint),AXIELL LTD,16/04/2013,5020.58,,,,,
Customer & People Services,Library Services,WCSL,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,29/04/2013,383.38,,,,,
Customer & People Services,Library Services,WCSL,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,29/04/2013,634.6,,,,,
Customer & People Services,Library Services,WCSL,Capital Expenditure,Payments to Contractor,ADT FIRE & SECURITY PLC,11/04/2013,156,,,,,
Customer & People Services,Library Services,WCSL,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,29/04/2013,494.12,,,,,
Customer & People Services,Library Services,WCSL,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,29/04/2013,567,,,,,
Customer & People Services,Organisational Improvement,NOAG,Supplies & Services,Refreshments Meetings,AUTOBAR UK LTD,15/04/2013,142.9,,,,,
Customer & People Services,Organisational Improvement,NOAT,Employees,Other Training,SHROPSHIRE COUNCIL,10/04/2013,140,,,,,
Customer & People Services,Organisational Improvement,NOAT,Employees,Training Exp's (Facilitators),Osteopathic Solutions Ltd,29/04/2013,450,,,,,
Customer & People Services,Organisational Improvement,NOAT,Employees,Training Exp's (Facilitators),Osteopathic Solutions Ltd,24/04/2013,450,,,,,
Customer & People Services,Organisational Improvement,NOAT,Employees,Training Exp's (Facilitators),Osteopathic Solutions Ltd,24/04/2013,900,,,,,
Customer & People Services,Organisational Improvement,NOAT,Employees,Training Exp's (Facilitators),VIGOUR CLIENT SERVICES LTD,03/04/2013,375,,,,,
Customer & People Services,Organisational Improvement,NOAT,Employees,Training Exp's (Facilitators),VIGOUR CLIENT SERVICES LTD,03/04/2013,375,,,,,
Customer & People Services,Organisational Improvement,NOAT,Employees,Training Exp's (Facilitators),Osteopathic Solutions Ltd,25/04/2013,900,,,,,
Customer & People Services,Organisational Improvement,NOAT,Employees,Training Exp's (Facilitators),HADLEY PARK TRAINING,03/04/2013,400,,,,,
Customer & People Services,Organisational Improvement,NOAT,Employees,Training Exp's (Facilitators),BLITHFIELD SAFETY TRAINING,24/04/2013,595,,,,,
Customer & People Services,Organisational Improvement,NOAT,Employees,Training Exp's (Facilitators),BLITHFIELD SAFETY TRAINING,24/04/2013,595,,,,,
Customer & People Services,Organisational Improvement,NOAT,Employees,Training Exp's (Facilitators),BLITHFIELD SAFETY TRAINING,24/04/2013,507,,,,,
Customer & People Services,Organisational Improvement,NOAT,Employees,Training Exp's (Facilitators),Osteopathic Solutions Ltd,29/04/2013,450,,,,,
Customer & People Services,Organisational Improvement,NOAT,Employees,Training Exp's (Facilitators),SHROPSHIRE PARTNERS IN CARE LTD,23/04/2013,180,,,,,
Customer & People Services,Organisational Improvement,NOAT,Employees,Training Exp's (Facilitators),Osteopathic Solutions Ltd,29/04/2013,450,,,,,
Customer & People Services,Organisational Improvement,NOAT,Employees,Training Exp's (Facilitators),VIGOUR CLIENT SERVICES LTD,24/04/2013,792,,,,,
Customer & People Services,Organisational Improvement,NOAT,Employees,Training Exp's (Facilitators),Osteopathic Solutions Ltd,10/04/2013,900,,,,,
Customer & People Services,Organisational Improvement,NOAT,Employees,Training Exp's (Facilitators),Osteopathic Solutions Ltd,15/04/2013,225,,,,,
Customer & People Services,Organisational Improvement,NOAT,Employees,Course Fees,SHROPSHIRE COUNCIL,18/04/2013,9452,,,,,
Customer & People Services,Organisational Improvement,NOAT,Employees,Course Fees,SHROPSHIRE COUNCIL,18/04/2013,9452,,,,,
Customer & People Services,Organisational Improvement,NOAT,Employees,Course Fees,TELFORD OCCUPATIONAL HEALTH SERVICE LTD,03/04/2013,105,,,,,
Customer & People Services,Organisational Improvement,NOAT,Supplies & Services,Sub Contractors,SHROPSHIRE PARTNERS IN CARE LTD,04/04/2013,28276.82,,,,,
Customer & People Services,Organisational Improvement,NOAT,Supplies & Services,Sub Contractors,SHROPSHIRE PARTNERS IN CARE LTD,17/04/2013,872.5,,,,,
Customer & People Services,Organisational Improvement,NOAT,Supplies & Services,Sub Contractors,SHROPSHIRE PARTNERS IN CARE LTD,16/04/2013,79777.55,,,,,
Customer & People Services,Organisational Improvement,NOAT,Supplies & Services,Publications,PEARSON EDUCATION,05/04/2013,300,,,,,
Customer & People Services,Organisational Improvement,NOAT,Supplies & Services,Publications,PEARSON EDUCATION,02/04/2013,300,,,,,
Customer & People Services,Organisational Improvement,NOAT,Supplies & Services,Sub Contractors,SHROPSHIRE PARTNERS IN CARE LTD,17/04/2013,7500,,,,,
Customer & People Services,Revenues,LRAA,Supplies & Services,Printing - Print Room,TAWS PRINTERS LTD,10/04/2013,180,,,,,
Customer & People Services,Revenues,LRSF,Supplies & Services,Comp Software (Purch / Hire),IEG4 Limited,04/04/2013,12100,,,,,
Customer & People Services,Revenues,LRSF,Transfer Payments,Crisis Assistance Payments,PayPoint Network Limited,10/04/2013,150,,,,,
Customer & People Services,Revenues,LRSF,Transfer Payments,Crisis Assistance Payments,PayPoint Network Limited,17/04/2013,125,,,,,
Customer & People Services,Revenues,LRTA,Supplies & Services,Postages,ROYAL MAIL GROUP LTD,11/04/2013,2056.21,,,,,
Customer & People Services,Revenues,LRTA,Supplies & Services,Postages,ROYAL MAIL GROUP LTD,25/04/2013,1972.48,,,,,
Customer & People Services,Revenues,LRTA,Supplies & Services,Postages,ROYAL MAIL GROUP LTD,12/04/2013,1023.97,,,,,
Customer & People Services,Revenues,LRTA,Supplies & Services,Computer Software (Maint),CIVICA UK LIMITED,11/04/2013,-725.9,,,,,
Customer & People Services,Revenues,LRTA,Supplies & Services,Computer Software (Maint),BOTTOMLINE TECHNOLOGIES,11/04/2013,478.13,,,,,
Customer & People Services,Revenues,LRTA,Third Party Payments,Other Government - Services,NORTHGATE INFORMATION SOLUTIONS UK LTD,08/04/2013,290.23,,,,,
Customer & People Services,Revenues,LRTA,Third Party Payments,Other Government - Services,NORTHGATE INFORMATION SOLUTIONS UK LTD,08/04/2013,212.13,,,,,
Customer & People Services,Revenues,LRTB,Supplies & Services,Comp Hardware (Purch / Hire),SYNETRIX LTD,17/04/2013,806,,,,,
Customer & People Services,Revenues,LRTB,Supplies & Services,Printing - Other,TAWS PRINTERS LTD,10/04/2013,1910,,,,,
Customer & People Services,Revenues,LRTB,Supplies & Services,Printing - Other,TAWS PRINTERS LTD,10/04/2013,498,,,,,
Customer & People Services,Revenues,LRTB,Third Party Payments,Bailff and Collection Services,ROSSENDALES LTD,02/04/2013,131.09,,,,,
Customer & People Services,Revenues,LRTC,Employees,Off Site Processing ,NORTHGATE INFORMATION SOLUTIONS UK LTD,10/04/2013,3781.14,,,,,
Customer & People Services,Revenues,LRTC,Supplies & Services,IT Services,NORTHGATE INFORMATION SOLUTIONS UK LTD,10/04/2013,446.34,,,,,
Customer & People Services,Revenues,LRTC,Supplies & Services,IT Services,NORTHGATE INFORMATION SOLUTIONS UK LTD,10/04/2013,783.9,,,,,
Customer & People Services,Revenues,LRTC,Supplies & Services,Postages,ROYAL MAIL GROUP LTD,26/04/2013,110,,,,,
Customer & People Services,Revenues,LRTC,Supplies & Services,Technical Advice Service,AIREY CONSULTANCY SERVICES LTD,02/04/2013,650,,,,,
Customer & People Services,Revenues,LRTC,Supplies & Services,Printing - Other,TAWS PRINTERS LTD,08/04/2013,3115,,,,,
Customer & People Services,Revenues,LRTD,Employees,Professional Subs,IRRV,22/04/2013,146,,,,,
Customer & People Services,Revenues,LRTD,Supplies & Services,Conference Expenses,IRRV,08/04/2013,150,,,,,
Customer & People Services,Revenues,LRTD,Supplies & Services,Computer Software (Maint),INTEC FOR BUSINESS LTD,02/04/2013,5550.4,,,,,
Customer & People Services,Superintendent Registrar,LSAA,Supplies & Services,Conference Expenses,LOCAL REGISTRATION SERVICES ASSOCIATION,16/04/2013,125,,,,,
Customer & People Services,Superintendent Registrar,LSAB,Premises-Related Expenditure,Grounds Maintenance - Cemeteries,P & W MAINTENANCE CONTRACTING LTD,16/04/2013,4514.51,,,,,
Customer & People Services,Superintendent Registrar,LSAB,Premises-Related Expenditure,Grounds Maintenance - Cemeteries,P & W MAINTENANCE CONTRACTING LTD,16/04/2013,1059.63,,,,,
Customer & People Services,Superintendent Registrar,LSAB,Supplies & Services,Burial Services,L TRANTER & SON,16/04/2013,625,,,,,
Customer & People Services,Superintendent Registrar,LSAB,Supplies & Services,Burial Services,C J WILLIAMS FUNERAL SERVICES,17/04/2013,475,,,,,
"Development, Business & Housing","AD - Development, Business & Housing",WCAN,Capital Expenditure,Site Purchase,MARTIN KAYE,04/04/2013,1062.94,,,,,
"Development, Business & Housing","AD - Development, Business & Housing",WCAN,Capital Expenditure,Payments to Contractor,SIGNS EXPRESS (TELFORD),11/04/2013,825,,,,,
"Development, Business & Housing","AD - Development, Business & Housing",WCAN,Capital Expenditure,Payments to Contractor,PETER HENRY REMOVALS,11/04/2013,350,,,,,
"Development, Business & Housing","AD - Development, Business & Housing",WCAN,Capital Expenditure,Payments to Contractor,PAVE AWAYS LTD,11/04/2013,292970.92,,,,,
"Development, Business & Housing","AD - Development, Business & Housing",WCAN,Capital Expenditure,Payments to Contractor,Acorn Electrical Contractors Ltd,26/04/2013,726,,,,,
"Development, Business & Housing","AD - Development, Business & Housing",WCAN,Capital Expenditure,External Professional Fees,MARTIN KAYE,11/04/2013,614,,,,,
"Development, Business & Housing","AD - Development, Business & Housing",WCAN,Capital Expenditure,External Professional Fees,360 SKYLENS LIMITED,11/04/2013,165,,,,,
"Development, Business & Housing","AD - Development, Business & Housing",WCAN,Capital Expenditure,External Professional Fees,LANYON BOWDLER SOLICITORS,26/04/2013,264,,,,,
"Development, Business & Housing","AD - Development, Business & Housing",WCAN,Capital Expenditure,External Professional Fees,THE WREKIN HOUSING TRUST,29/04/2013,1246.94,,,,,
"Development, Business & Housing","AD - Development, Business & Housing",WCAR,Capital Expenditure,Payments to Contractor,SHIFNAL ENVIRONMENTAL SAFETY LTD,09/04/2013,2845,,,,,
"Development, Business & Housing","AD - Development, Business & Housing",WCAR,Capital Expenditure,Payments to Contractor,TAYLORS MECHANICAL H & P SERVICES LTD,11/04/2013,103.5,,,,,
"Development, Business & Housing",Building Schools for the Future (BSF),GFAA,Supplies & Services,Furniture - Purchase,STANFORD MARSH FINANCE LTD,08/04/2013,282.7,,,,,
"Development, Business & Housing",Building Schools for the Future (BSF),GFAA,Supplies & Services,Protective Clothing,GREENHAM TRADING LTD,09/04/2013,105.12,,,,,
"Development, Business & Housing",Building Schools for the Future (BSF),WGAD,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,16/04/2013,727.21,,,,,
"Development, Business & Housing",Building Schools for the Future (BSF),WGAD,Capital Expenditure,Payments to Contractor,KIER CONSTRUCTION LTD,02/04/2013,144496.54,,,,,
"Development, Business & Housing",Building Schools for the Future (BSF),WGAE,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,16/04/2013,391.34,,,,,
"Development, Business & Housing",Building Schools for the Future (BSF),WGAG,Capital Expenditure,Payments to Contractor,BRITISH GAS BUSINESS (ELECTRICITY),23/04/2013,137.54,,,,,
"Development, Business & Housing",Building Schools for the Future (BSF),WGAG,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,16/04/2013,3175.74,,,,,
"Development, Business & Housing",Building Schools for the Future (BSF),WGAG,Capital Expenditure,Payments to Contractor,KIER CONSTRUCTION LTD,02/04/2013,754174.26,,,,,
"Development, Business & Housing",Building Schools for the Future (BSF),WGAG,Capital Expenditure,Payments to Contractor,KIER CONSTRUCTION LTD,24/04/2013,918157.85,,,,,
"Development, Business & Housing",Building Schools for the Future (BSF),WGAH,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,16/04/2013,626.16,,,,,
"Development, Business & Housing",Building Schools for the Future (BSF),WGAH,Capital Expenditure,Payments to Contractor,SHROPSHIRE WILDLIFE SURVEYS,22/04/2013,184,,,,,
"Development, Business & Housing",Building Schools for the Future (BSF),WGAH,Capital Expenditure,Payments to Contractor,SEVERN TRENT WATER LTD,09/04/2013,1229.29,,,,,
"Development, Business & Housing",Building Schools for the Future (BSF),WGAJ,Capital Expenditure,Legal Fees,WARD HADAWAY SOLICITORS,24/04/2013,86390.1,,,,,
"Development, Business & Housing",Building Schools for the Future (BSF),WGAJ,Capital Expenditure,Payments to Contractor,Shepherd Construction Ltd,02/04/2013,367389,,,,,
"Development, Business & Housing",Building Schools for the Future (BSF),WGAJ,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,16/04/2013,675.98,,,,,
"Development, Business & Housing",Building Schools for the Future (BSF),WGAJ,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,16/04/2013,2047.09,,,,,
"Development, Business & Housing",Building Schools for the Future (BSF),WGAJ,Capital Expenditure,Legal Fees,WARD HADAWAY SOLICITORS,19/04/2013,511,,,,,
"Development, Business & Housing",Building Schools for the Future (BSF),WGAJ,Capital Expenditure,Legal Fees,NABARRO,19/04/2013,3273.3,,,,,
"Development, Business & Housing",Building Schools for the Future (BSF),WGAJ,Capital Expenditure,Legal Fees,NABARRO,19/04/2013,1362.3,,,,,
"Development, Business & Housing",Building Schools for the Future (BSF),WGAS,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,16/04/2013,626.16,,,,,
"Development, Business & Housing",Development Management,DDAA,Supplies & Services,Application Software Maint,MIS LOCAL GOVERNMENT SYSTEMS LTD,24/04/2013,-2042.41,,,,,
"Development, Business & Housing",Development Management,DDAA,Supplies & Services,Application Software Maint,RASTEREX SOFTWARE A.S.,29/04/2013,6465,,,,,
"Development, Business & Housing",Development Management,DDAC,Supplies & Services,Legal Expenses,WHITE YOUNG GREEN CONSULTING LTD,09/04/2013,8699,,,,,
"Development, Business & Housing",Development Management,DDAC,Supplies & Services,Legal Expenses,REDACTED PERSONAL INFORMATION,10/04/2013,8500,,,,,
"Development, Business & Housing",Development Management,DDAC,Supplies & Services,Legal Expenses,Peter Brett Associates LLP,09/04/2013,35000,,,,,
"Development, Business & Housing",Development Management,DDAG,Supplies & Services,Publications,HAYMARKET PUBLISHING SERVICES LTD,29/04/2013,845,,,,,
"Development, Business & Housing",Development Management,DDAG,Supplies & Services,Photocopying,RESOLUTION DATA MANAGEMENT LTD,10/04/2013,156.87,,,,,
"Development, Business & Housing",Development Management,DDBA,Premises-Related Expenditure,R&M -Building Other,JONES & HAMPTON LTD,23/04/2013,6598,,,,,
"Development, Business & Housing",Development Management,DDBA,Supplies & Services,Stationery,SIGNS EXPRESS (TELFORD),17/04/2013,4662,,,,,
"Development, Business & Housing",Enterprise & Employment,AEAC,Supplies & Services,Other Services,SHROPSHIRE COUNCIL,10/04/2013,8167.59,,,,,
"Development, Business & Housing",Enterprise & Employment,AEAC,Supplies & Services,Other Grants (Expenses),Sustainability West Midlands,16/04/2013,500,,,,,
"Development, Business & Housing",Enterprise & Employment,AEAC,Supplies & Services,Other Services,MEETING POINT TRUST LTD,08/04/2013,522.5,,,,,
"Development, Business & Housing",Enterprise & Employment,AEAJ,Supplies & Services,Marketing & Publicity,CRAIN COMMUNICATIONS LIMITED,08/04/2013,5000,,,,,
"Development, Business & Housing",Enterprise & Employment,AEAJ,Supplies & Services,Marketing & Publicity,BRIGHTER BUSINESS SOLUTIONS (UK) LTD,08/04/2013,750,,,,,
"Development, Business & Housing",Enterprise & Employment,AEAJ,Supplies & Services,Web Services,Ascendancy Internet Marketing Ltd,08/04/2013,120,,,,,
"Development, Business & Housing",Enterprise & Employment,AEAJ,Supplies & Services,Photography,ROB FINNEY PHOTOGRAPHY,16/04/2013,170,,,,,
"Development, Business & Housing",Enterprise & Employment,AEAJ,Supplies & Services,Research Surveys,Tourism Solutions Ltd,08/04/2013,4000,,,,,
"Development, Business & Housing",Enterprise & Employment,AEAR,Premises-Related Expenditure,Hire Of Rooms,TELFORD COLLEGE OF ARTS & TECHNOLOGY,03/04/2013,4435.92,,,,,
"Development, Business & Housing",Enterprise & Employment,AEAR,Premises-Related Expenditure,Hire Of Rooms,MEETING POINT TRUST LTD,08/04/2013,112.5,,,,,
"Development, Business & Housing",Enterprise & Employment,AEAR,Premises-Related Expenditure,Hire Of Rooms,MEETING POINT TRUST LTD,08/04/2013,635.38,,,,,
"Development, Business & Housing",Enterprise & Employment,AEAX,Supplies & Services,Promotion Expenses,UNIVERSITY OF WOLVERHAMPTON,10/04/2013,500,,,,,
"Development, Business & Housing",Estates & Investments,CEAC,Premises-Related Expenditure,Contract Cleaning,VEOLIA ES (UK) LTD,18/04/2013,260.19,,,,,
"Development, Business & Housing",Estates & Investments,CEAC,Premises-Related Expenditure,Clean Mats & Toilet Requisites,INITIAL WASHROOM SOLUTIONS,11/04/2013,1083.87,,,,,
"Development, Business & Housing",Estates & Investments,CEAC,Premises-Related Expenditure,R&M -Buildings DLO Charge,OAKENGATES CARPET CO,11/04/2013,186,,,,,
"Development, Business & Housing",Estates & Investments,CEAC,Premises-Related Expenditure,R&M -Building Other,JONES & HAMPTON LTD,11/04/2013,226.17,,,,,
"Development, Business & Housing",Estates & Investments,CEAC,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,11/04/2013,310.08,,,,,
"Development, Business & Housing",Estates & Investments,CEAC,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,11/04/2013,2235.42,,,,,
"Development, Business & Housing",Estates & Investments,CEAD,Premises-Related Expenditure,R&M -Building Other,GRA-BERN,24/04/2013,237.75,,,,,
"Development, Business & Housing",Estates & Investments,CEAE,Premises-Related Expenditure,R&M -Building Other,JONES & HAMPTON LTD,26/04/2013,313.29,,,,,
"Development, Business & Housing",Estates & Investments,CEAE,Premises-Related Expenditure,R&M -Building Other,JONES & HAMPTON LTD,24/04/2013,138.28,,,,,
"Development, Business & Housing",Estates & Investments,CEAE,Premises-Related Expenditure,R&M -Building Other,JONES & HAMPTON LTD,24/04/2013,157.2,,,,,
"Development, Business & Housing",Estates & Investments,CEAE,Premises-Related Expenditure,R&M -Building Other,ASLES (TOOL HIRE & SALES) LTD,24/04/2013,360,,,,,
"Development, Business & Housing",Estates & Investments,CEAE,Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,04/04/2013,1658.8,,,,,
"Development, Business & Housing",Estates & Investments,CEAE,Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,04/04/2013,1869.2,,,,,
"Development, Business & Housing",Estates & Investments,CEAE,Premises-Related Expenditure,Building Cleaning DSO,FCC RECYCLING (UK) LIMITED,05/04/2013,215.15,,,,,
"Development, Business & Housing",Estates & Investments,CEAE,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,11/04/2013,1776.6,,,,,
"Development, Business & Housing",Estates & Investments,CEAE,Supplies & Services,Hospitality,BIKOLD,29/04/2013,159.19,,,,,
"Development, Business & Housing",Estates & Investments,CEAE,Supplies & Services,Hospitality,BIKOLD,11/04/2013,106,,,,,
"Development, Business & Housing",Estates & Investments,CEAE,Supplies & Services,Hospitality,THE BRIDGE COFFEE COMPANY LTD,11/04/2013,131.4,,,,,
"Development, Business & Housing",Estates & Investments,CEAE,Supplies & Services,Hospitality,BIKOLD,11/04/2013,108.6,,,,,
"Development, Business & Housing",Estates & Investments,CEAE,Supplies & Services,Telephones,VIRGIN MEDIA BUSINESS,05/04/2013,273.3,,,,,
"Development, Business & Housing",Estates & Investments,CEAE,Supplies & Services,Telephones,VIRGIN MEDIA BUSINESS,24/04/2013,273.3,,,,,
"Development, Business & Housing",Estates & Investments,CEAE,Supplies & Services,Telephones,MIDLAND TML,18/04/2013,512.86,,,,,
"Development, Business & Housing",Estates & Investments,CEAH,Premises-Related Expenditure,Electricity,E.ON,11/04/2013,116.47,,,,,
"Development, Business & Housing",Estates & Investments,CEAH,Premises-Related Expenditure,Insurance Loss Over 250,TELFORD BUILDING CONTRACTORS,24/04/2013,8579.51,,,,,
"Development, Business & Housing",Estates & Investments,CEAH,Premises-Related Expenditure,Electricity,NPOWER LIMITED,25/04/2013,278.11,,,,,
"Development, Business & Housing",Estates & Investments,CEAH,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),18/04/2013,201.99,,,,,
"Development, Business & Housing",Estates & Investments,CEAH,Premises-Related Expenditure,Electricity,BRITISH GAS BUSINESS (ELECTRICITY),11/04/2013,100.85,,,,,
"Development, Business & Housing",Estates & Investments,CEAH,Premises-Related Expenditure,R&M -Building Other,JONES & HAMPTON LTD,24/04/2013,396.1,,,,,
"Development, Business & Housing",Estates & Investments,CEAH,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,04/04/2013,908.59,,,,,
"Development, Business & Housing",Estates & Investments,CEAH,Premises-Related Expenditure,R&M -Building Other,JONES & HAMPTON LTD,11/04/2013,128.1,,,,,
"Development, Business & Housing",Estates & Investments,CEAH,Premises-Related Expenditure,R&M -Building Other,PRYCE (BUILDERS) LTD,08/04/2013,1072.15,,,,,
"Development, Business & Housing",Estates & Investments,CEAH,Premises-Related Expenditure,R&M -Building Other,DOOR LOADING SERVICES UK LTD,18/04/2013,350,,,,,
"Development, Business & Housing",Estates & Investments,CEAH,Premises-Related Expenditure,R&M -Building Other,GRA-BERN,24/04/2013,288.24,,,,,
"Development, Business & Housing",Estates & Investments,CEAH,Premises-Related Expenditure,R&M -Building Other,R M F LANDSCAPING LTD,24/04/2013,395,,,,,
"Development, Business & Housing",Estates & Investments,CEAH,Premises-Related Expenditure,R&M -Building Other,GRA-BERN,24/04/2013,1876,,,,,
"Development, Business & Housing",Estates & Investments,CEAH,Premises-Related Expenditure,R&M -Building Other,GRA-BERN,24/04/2013,142.8,,,,,
"Development, Business & Housing",Estates & Investments,CEAH,Premises-Related Expenditure,R&M -Building Other,GRA-BERN,24/04/2013,559.14,,,,,
"Development, Business & Housing",Estates & Investments,CEAH,Premises-Related Expenditure,R&M -Building Other,LOCSAFE SECURITY SYSTEMS,11/04/2013,427.43,,,,,
"Development, Business & Housing",Estates & Investments,CEAH,Premises-Related Expenditure,R&M -Building Other,JONES & HAMPTON LTD,24/04/2013,653.07,,,,,
"Development, Business & Housing",Estates & Investments,CEAH,Premises-Related Expenditure,R&M -Building Other,JONES & HAMPTON LTD,23/04/2013,315.12,,,,,
"Development, Business & Housing",Estates & Investments,CEAH,Premises-Related Expenditure,Dilapidations,JONES & HAMPTON LTD,29/04/2013,721.68,,,,,
"Development, Business & Housing",Estates & Investments,CEAH,Premises-Related Expenditure,Dilapidations,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,24/04/2013,2499,,,,,
"Development, Business & Housing",Estates & Investments,CEAH,Supplies & Services,Payment Of Income Collected,HSBC EQUIPMENT FINANCE (UK) LIMITED,15/04/2013,5668.87,,,,,
"Development, Business & Housing",Estates & Investments,CEAJ,Supplies & Services,Payment Of Income Collected,SEVERN GORGE COUNTRYSIDE TRUST,11/04/2013,57344.42,,,,,
"Development, Business & Housing",Estates & Investments,CEAJ,Supplies & Services,Payment Of Income Collected,SEVERN GORGE COUNTRYSIDE TRUST,25/04/2013,57298.42,,,,,
"Development, Business & Housing",Estates & Investments,CEAN,Premises-Related Expenditure,R&M -Building Other,GRA-BERN,23/04/2013,380.4,,,,,
"Development, Business & Housing",Estates & Investments,CEAN,Premises-Related Expenditure,Planned Repairs,BRITISH GAS BUSINESS (ELECTRICITY),17/04/2013,518.27,,,,,
