Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,17/09/2013,176.31,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,19/09/2013,1273.8,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,16/09/2013,141.09,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,16/09/2013,1113,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,16/09/2013,362.45,
Adult Care & Support,Access & Enablement,HOAF,Third Party Payments,Private Contractors,ROYAL NATIONAL INSTITUTE FOR THE BLIND,30/09/2013,410,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,RNIB SERVICES LIMITED,17/09/2013,177.25,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,RNIB SERVICES LIMITED,02/09/2013,382.9,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,RNIB SERVICES LIMITED,02/09/2013,287.5,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,RNIB SERVICES LIMITED,02/09/2013,119.9,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,RNIB SERVICES LIMITED,02/09/2013,285,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,SW RETAIL LTD T/A IC,13/09/2013,629.75,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,RNID PRODUCTS,13/09/2013,1271.78,
Adult Care & Support,Access & Enablement,HOAG,Third Party Payments,Interpreters Fees,VISS LTD,12/09/2013,125,
Adult Care & Support,Access & Enablement,HOAG,Third Party Payments,Interpreters Fees,VISS LTD,12/09/2013,125,
Adult Care & Support,Access & Enablement,HOAG,Third Party Payments,Interpreters Fees,VISS LTD,12/09/2013,125,
Adult Care & Support,Access & Enablement,HOAG,Third Party Payments,Interpreters Fees,VISS LTD,12/09/2013,125,
Adult Care & Support,Access & Enablement,HOAG,Third Party Payments,Interpreters Fees,VISS LTD,12/09/2013,125,
Adult Care & Support,Access & Enablement,HOAG,Third Party Payments,Interpreters Fees,VISS LTD,12/09/2013,125,
Adult Care & Support,Access & Enablement,HOAG,Third Party Payments,Interpreters Fees,VISS LTD,12/09/2013,125,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Direct Mobility ltd,12/09/2013,219,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,12/09/2013,1797,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,12/09/2013,1650,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,12/09/2013,501.9,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AA Moving Solutions,12/09/2013,796.5,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Astor Bannerman (Medical) Ltd,05/09/2013,599,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,05/09/2013,907.52,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Essential Aids,13/09/2013,224.8,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,MOUNTWAY LTD,30/09/2013,275,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Easylink,30/09/2013,319.16,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AKW MEDI-CARE LIMITED,30/09/2013,506.52,
Adult Care & Support,Access & Enablement,HOAP,Third Party Payments,Interpreters Fees,PEARL LINGUISTICS LTD,06/09/2013,283.8,
Adult Care & Support,Access & Enablement,HOAW,Supplies & Services,Equipment - Purchase,Boots The Chemist,12/09/2013,180,
Adult Care & Support,Access & Enablement,HOAW,Supplies & Services,Equipment - Purchase,Boots The Chemist,24/09/2013,160,
Adult Care & Support,Access & Enablement,HOAW,Supplies & Services,Equipment - Purchase,Boots The Chemist,24/09/2013,160,
Adult Care & Support,Access & Enablement,HOAW,Third Party Payments,Nursing Expenditure,OAKENGATES MEDICAL PRACTICE,03/09/2013,1453,
Adult Care & Support,Access & Enablement,HOAW,Third Party Payments,Nursing Expenditure,OAKENGATES MEDICAL PRACTICE,03/09/2013,1816.25,
Adult Care & Support,Access & Enablement,HOAW,Third Party Payments,Nursing Expenditure,OAKENGATES MEDICAL PRACTICE,24/09/2013,1816.25,
Adult Care & Support,Access & Enablement,HOBB,Employees,Agency Supply Costs,PROSPECTS FPWLD,19/09/2013,162.1,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,26/09/2013,930,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,26/09/2013,721.08,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,26/09/2013,843.2,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,26/09/2013,4384.33,
Adult Care & Support,Adult Social Care Commissioning,HASA,Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN CVS,27/09/2013,6000,
Adult Care & Support,Adult Social Care Commissioning,HJAA,Supplies & Services,Other Grants (Expenses),Age UK Shropshire Telford & Wrekin,16/09/2013,30891,
Adult Care & Support,Adult Social Care Commissioning,HJAA,Supplies & Services,Other Grants (Expenses),SIGHT LOSS SHROPSHIRE,23/09/2013,3696.11,
Adult Care & Support,Adult Social Care Commissioning,HJAE,Supplies & Services,Other Grants (Expenses),COMMUNITY COUNCIL OF SHROPSHIRE,23/09/2013,2785,
Adult Care & Support,Adult Social Care Commissioning,HOBS,Supplies & Services,Aids & Appliances,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,23/09/2013,6301.66,
Adult Care & Support,Adult Social Care Commissioning,HOBS,Supplies & Services,Aids & Appliances,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,25/09/2013,18904.98,
Adult Care & Support,Adult Social Care Commissioning,HOBS,Supplies & Services,Aids & Appliances,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,25/09/2013,6301.66,
Adult Care & Support,Adult Social Care Commissioning,HOBS,Supplies & Services,Aids & Appliances,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,25/09/2013,6301.66,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,03/09/2013,46797.07,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,03/09/2013,38997.56,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,03/09/2013,32931.3,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,03/09/2013,29051.21,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,THE WREKIN HOUSING TRUST,26/09/2013,14999.18,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,THE WREKIN HOUSING TRUST,30/09/2013,1562.82,
Adult Care & Support,Assessment & Case Management,HOBN,Third Party Payments,Homecare Expenditure,Home Instead,26/09/2013,2251.98,
Adult Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Telecomms,BRITISH TELECOMMUNICATIONS PLC,12/09/2013,409.15,
Adult Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Computer Software (Maint),CARE MONITORING 2000 LTD,12/09/2013,5000,
Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Computer Software (Maint),CM 2000 CARE MONITORING,23/09/2013, 992.36 ,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Laundry & Towel Hire,PHS GROUP LTD,24/09/2013,401.01,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Provisions,BIKOLD,30/09/2013,151.15,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Provisions,BIKOLD,30/09/2013,123.01,
Adult Care & Support,Personalisation Support & Service Provision,HLCE,Premises-Related Expenditure,General Rents,THE WREKIN HOUSING TRUST,20/09/2013,1956,
Adult Care & Support,Personalisation Support & Service Provision,HLDB,Supplies & Services,Equipment - Purchase,JACKDAW DINSTOCK,03/09/2013,114.75,
Adult Care & Support,Personalisation Support & Service Provision,HLDB,Supplies & Services,Equipment - Purchase,JACKDAW DINSTOCK,03/09/2013,242.21,
Adult Care & Support,Personalisation Support & Service Provision,HLDB,Supplies & Services,Equipment - Purchase,JACKDAW DINSTOCK,03/09/2013,151.13,
Adult Care & Support,Personalisation Support & Service Provision,HLDB,Supplies & Services,Equipment - Purchase,JACKDAW DINSTOCK,03/09/2013,275.93,
Adult Care & Support,Personalisation Support & Service Provision,HLDB,Supplies & Services,Items For Resale,TELFORD TIMBER SUPPLIES,03/09/2013,300,
Adult Care & Support,Personalisation Support & Service Provision,HLDB,Supplies & Services,Items For Resale,TELFORD TIMBER SUPPLIES,03/09/2013,111.6,
Adult Care & Support,Personalisation Support & Service Provision,HLDB,Supplies & Services,Items For Resale,TELFORD TIMBER SUPPLIES,03/09/2013,200,
Adult Care & Support,Personalisation Support & Service Provision,HLDB,Supplies & Services,Equipment - Purchase,JACKDAW DINSTOCK,05/09/2013,107.01,
Adult Care & Support,Personalisation Support & Service Provision,HLDB,Supplies & Services,Equipment - Purchase,JACKDAW DINSTOCK,05/09/2013,168.34,
Adult Care & Support,Personalisation Support & Service Provision,HLDB,Supplies & Services,Items For Resale,TELFORD TIMBER SUPPLIES,27/09/2013,111.6,
Adult Care & Support,Personalisation Support & Service Provision,HLDC,Supplies & Services,Equipment - Hire,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),13/09/2013,363.86,
Adult Care & Support,Personalisation Support & Service Provision,HLDC,Supplies & Services,Postages,ROYAL MAIL GROUP LTD,06/09/2013,195,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,20/09/2013,659.84,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,20/09/2013,1565.92,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,20/09/2013,2276.21,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,30/09/2013,1357.37,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,30/09/2013,813.98,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Supplies & Services,Equipment - Purchase,BERWICK CARE EQUIPMENT LTD,20/09/2013,130,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Supplies & Services,Equipment - Purchase,THE CONSORTIUM FOR PURCHASING & DISTRIBUTION LTD T/A WEST MERCIA SUPPLIES,04/09/2013,311.58,
Adult Care & Support,Personalisation Support & Service Provision,HLEC,Capital Financing Costs,Leased Equipment,LEX AUTOLEASE LTD,04/09/2013,500.14,
Adult Care & Support,Personalisation Support & Service Provision,HLEC,Employees,Agency Supply Costs,WE ARE THE CARE COMPANY LTD,20/09/2013,1963.25,
Adult Care & Support,Personalisation Support & Service Provision,HLEC,Employees,Agency Supply Costs,WE ARE THE CARE COMPANY LTD,20/09/2013,2920.75,
Adult Care & Support,Personalisation Support & Service Provision,HLEC,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,20/09/2013,134.76,
Adult Care & Support,Personalisation Support & Service Provision,HLEC,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,20/09/2013,316.98,
Adult Care & Support,Personalisation Support & Service Provision,HLEC,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,20/09/2013,370.61,
Adult Care & Support,Personalisation Support & Service Provision,HLEC,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,20/09/2013,249.97,
Adult Care & Support,Personalisation Support & Service Provision,HLEC,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,20/09/2013,265.38,
Adult Care & Support,Personalisation Support & Service Provision,HLEC,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,20/09/2013,661.94,
Adult Care & Support,Personalisation Support & Service Provision,HLEC,Premises-Related Expenditure,Clean Mats & Toilet Requisites,CARESHOP,20/09/2013,183.58,
Adult Care & Support,Personalisation Support & Service Provision,HLEE,Premises-Related Expenditure,Electricity,SCOTTISH POWER PLC,26/09/2013,196.16,
Adult Care & Support,Personalisation Support & Service Provision,HLEG,Employees,Professional Subs,SHARED LIVES PLUS,11/09/2013,2442.6,
Adult Care & Support,Personalisation Support & Service Provision,HLEG,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,05/09/2013,345.61,
Adult Care & Support,Personalisation Support & Service Provision,HOAS,Supplies & Services,Printing - Other,TAWS PRINTERS,12/09/2013,155,
Adult Care & Support,Personalisation Support & Service Provision,YJAB,Supplies & Services,Equipment - Purchase,SHROPSHIRE COUNCIL,03/09/2013,27000,
Children's Safeguarding,Child Protection & Assessment,JAAG,Supplies & Services,CL - Basic Allowance,THEO LANGSTON,27/09/2013,227.2,
Children's Safeguarding,Child Protection & Assessment,JAAG,Supplies & Services,Supportive Lodgings,THEO LANGSTON,27/09/2013,931.24,
Children's Safeguarding,Child Protection & Assessment,JMAB,Supplies & Services,Legal Expenses,CLARKES SOLICITORS,24/09/2013,456.67,
Children's Safeguarding,Child Protection & Assessment,JMAB,Supplies & Services,Legal Expenses,Wright McMillian Bennett Law,24/09/2013,642,
Children's Safeguarding,Child Protection & Assessment,JMAB,Supplies & Services,Legal Expenses,CATER WALSH MEDIA SERVICES,24/09/2013,1500,
Children's Safeguarding,Child Protection & Assessment,JMAB,Supplies & Services,Supportive Lodgings,SAAIL,24/09/2013,4542.9,
Children's Safeguarding,Child Protection & Assessment,JMAB,Supplies & Services,CL - Basic Allowance,SAAIL,24/09/2013,284,
Children's Safeguarding,Child Protection & Assessment,JMAB,Supplies & Services,Supportive Lodgings,SAAIL,16/09/2013,4694.33,
Children's Safeguarding,Child Protection & Assessment,JMAB,Supplies & Services,CL - Basic Allowance,SAAIL,16/09/2013,284,
Children's Safeguarding,Child Protection & Assessment,JMAB,Third Party Payments,Childminders,DAISY CHAIN DAY CARE LTD,02/09/2013,121.2,
Children's Safeguarding,Child Protection & Assessment,JMAB,Third Party Payments,Childminders,DAISY CHAIN DAY CARE LTD,02/09/2013,121.2,
Children's Safeguarding,Child Protection & Assessment,JMAB,Third Party Payments,Childminders,DAISY CHAIN DAY CARE LTD,02/09/2013,121.2,
Children's Safeguarding,Child Protection & Assessment,JMAB,Third Party Payments,Childminders,DAISY CHAIN DAY CARE LTD,02/09/2013,121.2,
Children's Safeguarding,Child Protection & Assessment,JMAB,Third Party Payments,Childminders,DAISY CHAIN DAY CARE LTD,02/09/2013,121.2,
Children's Safeguarding,Child Protection & Assessment,JMAB,Third Party Payments,Childminders,DAISY CHAIN DAY CARE LTD,02/09/2013,121.2,
Children's Safeguarding,Child Protection & Assessment,JMAB,Third Party Payments,Childminders,RAINBOW PRE-SCHOOL NURSERY,23/09/2013,210,
Children's Safeguarding,Child Protection & Assessment,JMAB,Third Party Payments,Childminders,SMILEY FACES DAY NURSERIES LTD,10/09/2013,402,
Children's Safeguarding,Child Protection & Assessment,JMAD,Supplies & Services,Legal Expenses,CATER WALSH MEDIA SERVICES,20/09/2013,400,
Children's Safeguarding,Child Protection & Assessment,JMAD,Supplies & Services,Section 17 Childrens Act,REDACTED PERSONAL INFORMATION,23/09/2013,125,
Children's Safeguarding,Child Protection & Assessment,JMAD,Supplies & Services,Section 17 Childrens Act,REDACTED PERSONAL INFORMATION,09/09/2013,125,
Children's Safeguarding,Child Protection & Assessment,JMAD,Supplies & Services,Section 17 Childrens Act,REDACTED PERSONAL INFORMATION,16/09/2013,125,
Children's Safeguarding,Child Protection & Assessment,JMAD,Supplies & Services,Section 17 Childrens Act,REDACTED PERSONAL INFORMATION,30/09/2013,125,
Children's Safeguarding,Child Protection & Assessment,JMAD,Supplies & Services,Section 17 Childrens Act,REDACTED PERSONAL INFORMATION,02/09/2013,125,
Children's Safeguarding,Child Protection & Assessment,JMAD,Third Party Payments,Childminders,CHIPMUNKS NURSERY,16/09/2013,112.5,
Children's Safeguarding,Child Protection & Assessment,JMAD,Third Party Payments,Childminders,CHIPMUNKS NURSERY,09/09/2013,300.38,
Children's Safeguarding,Child Protection & Assessment,JMAD,Third Party Payments,Childminders,CHIPMUNKS NURSERY,02/09/2013,198.75,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,ELMHURST PSYCHOLOGY LTD,30/09/2013,375,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,LIVING SPRINGS FAMILY CENTRE,30/09/2013,15207,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,FIRST BASE (CREATIVE THERAPIES) LTD,02/09/2013,4280,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,LIVING SPRINGS FAMILY CENTRE,30/09/2013,230.68,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,ELMHURST PSYCHOLOGY LTD,30/09/2013,757.75,
Children's Safeguarding,Child Protection & Assessment,JMAE,Third Party Payments,Interpreters Fees,PEARL LINGUISTICS LTD,12/09/2013,556,
Children's Safeguarding,Child Protection & Assessment,JMAL,Supplies & Services,Other Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,17/09/2013,620.76,
Children's Safeguarding,Child Protection & Assessment,JMAL,Supplies & Services,Legal Expenses,CATER WALSH MEDIA SERVICES,20/09/2013,208.75,
Children's Safeguarding,Child Protection & Assessment,JMAL,Third Party Payments,Childminders,ABC Day Nursery,25/09/2013,236.8,
Children's Safeguarding,Child Protection & Assessment,JMAL,Third Party Payments,Childminders,CENTRAL PARK NURSERY ,23/09/2013,369.6,
Children's Safeguarding,Child Protection & Assessment,JMAL,Third Party Payments,Childminders,CENTRAL PARK NURSERY ,23/09/2013,277.2,
Children's Safeguarding,Child Protection & Assessment,JMAL,Third Party Payments,Childminders,CENTRAL PARK NURSERY ,23/09/2013,924,
Children's Safeguarding,Child Protection & Assessment,JMAL,Third Party Payments,Childminders,CENTRAL PARK NURSERY ,23/09/2013,330,
Children's Safeguarding,Child Protection & Assessment,JMAL,Third Party Payments,Childminders,WOODVILLE DAY NURSERY,27/09/2013,200,
Children's Safeguarding,Child Protection & Assessment,JSAB,Supplies & Services,Translation Services,PEARL LINGUISTICS LTD,12/09/2013,764.31,
Children's Safeguarding,Children in Care & Fostering,HMAE,Supplies & Services,Mobile Phones,ORANGE PCS LTD,25/09/2013,119,
Children's Safeguarding,Children in Care & Fostering,JMAF,Supplies & Services,Supportive Lodgings,SAAIL,04/09/2013,2214.33,
Children's Safeguarding,Children in Care & Fostering,JMAF,Supplies & Services,CL - Basic Allowance,SAAIL,02/09/2013,340.8,
Children's Safeguarding,Children in Care & Fostering,JMAF,Supplies & Services,CL - Basic Allowance,SAAIL,02/09/2013,170.4,
Children's Safeguarding,Children in Care & Fostering,JMAF,Supplies & Services,CL - Basic Allowance,SAAIL,02/09/2013,284,
Children's Safeguarding,Children in Care & Fostering,JMAF,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,02/09/2013,282.2,
Children's Safeguarding,Children in Care & Fostering,JMAF,Supplies & Services,Mobile Phones,ORANGE PCS LTD,05/09/2013,135,
Children's Safeguarding,Children in Care & Fostering,JMAF,Supplies & Services,Supportive Lodgings,SAAIL,24/09/2013,2142.9,
Children's Safeguarding,Children in Care & Fostering,JMAF,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,24/09/2013,2799.96,
Children's Safeguarding,Children in Care & Fostering,JMAF,Supplies & Services,CL - Basic Allowance,SAAIL,24/09/2013,284,
Children's Safeguarding,Children in Care & Fostering,JMAF,Supplies & Services,CL - Basic Allowance,SAAIL,24/09/2013,227.2,
Children's Safeguarding,Children in Care & Fostering,JMAF,Supplies & Services,Supportive Lodgings,SAAIL,24/09/2013,2142.9,
Children's Safeguarding,Children in Care & Fostering,JMAF,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,02/09/2013,2799.96,
Children's Safeguarding,Children in Care & Fostering,JMAF,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,02/09/2013,3107.76,
Children's Safeguarding,Children in Care & Fostering,JMAF,Supplies & Services,Supportive Lodgings,SAAIL,02/09/2013,2214.33,
Children's Safeguarding,Children in Care & Fostering,JMAF,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,02/09/2013,2953.86,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,11/09/2013,3344.68,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,CLIFFORD HOUSE FOSTERING LTD,25/09/2013,3645.16,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,SWIIS FOSTER CARE LTD,24/09/2013,895,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,11/09/2013,3077.86,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,11/09/2013,3244.33,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,11/09/2013,3050.18,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,11/09/2013,3077.86,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,SWIIS FOSTER CARE LTD,24/09/2013,895,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,ACTION FOR CHILDREN LIMITED,24/09/2013,5600.91,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTERING PRIORY,03/09/2013,3685.71,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,CORE ASSETS FOSTERING LIMITED,02/09/2013,-5336.94,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,CORE ASSETS FOSTERING LIMITED,02/09/2013,-5514.84,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,CORE ASSETS FOSTERING LIMITED,02/09/2013,-5514.84,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,CORE ASSETS FOSTERING LIMITED,02/09/2013,-5336.94,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,CORE ASSETS FOSTERING LIMITED,02/09/2013,-5514.84,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,SWIIS FOSTER CARE LTD,17/09/2013,895,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,11/09/2013,3210.71,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,11/09/2013,3050.18,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,11/09/2013,3244.33,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,Residential Expenditure,HILLCREST CARE LTD,11/09/2013,3244.33,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,11/09/2013,2958.68,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTERING PRIORY,03/09/2013,1671.43,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PROGRESS CHILDREN'S SERVICES LTD,03/09/2013,3564,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,INDEPENDENT CHILDCARE GROUP OF SCHOOLS L,03/09/2013,3253.2,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,CORE ASSETS FOSTERING LIMITED,12/09/2013,989.1,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTERING PRIORY,05/09/2013,3492.86,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,CORE ASSETS FOSTERING LIMITED,05/09/2013,5514.84,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,CORE ASSETS FOSTERING LIMITED,05/09/2013,5336.94,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,CORE ASSETS FOSTERING LIMITED,05/09/2013,4177.8,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,CORE ASSETS FOSTERING LIMITED,05/09/2013,4317.06,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,18/09/2013,3167.27,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,18/09/2013,3311.73,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,18/09/2013,3233.3,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,18/09/2013,3380.86,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,18/09/2013,3175.64,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,18/09/2013,3233.3,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,18/09/2013,3077.99,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTERING SOLUTIONS LTD,18/09/2013,3267.81,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,18/09/2013,3449.99,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,18/09/2013,3077.99,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,18/09/2013,3233.3,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,18/09/2013,3077.99,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,18/09/2013,3077.99,
