Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount
Adult Social Services,Access & Enablement,HMAA,Supplies & Services,Computer Hardware (Maint),ILLY SYSTEMS LTD,22/09/2014,11700
Adult Social Services,Access & Enablement,HMAA,Supplies & Services,Translation Services,PEARL LINGUISTICS LTD,02/09/2014,114
Adult Social Services,Access & Enablement,HMAA,Supplies & Services,Service Contracts,SRCL LTD,22/09/2014,805.46
Adult Social Services,Access & Enablement,HMAX,Supplies & Services,Other Grants (Expenses),CAIS Ltd,29/09/2014,2300
Adult Social Services,Access & Enablement,HMAX,Supplies & Services,Other Grants (Expenses),S STAFFORDSHIRE & SHROPSHIRE HEALTHCARE,05/09/2014,51824.64
Adult Social Services,Access & Enablement,HMAX,Supplies & Services,Other Grants (Expenses),S STAFFORDSHIRE & SHROPSHIRE HEALTHCARE,29/09/2014,8907.36
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,01/09/2014,121.54
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,02/09/2014,126.98
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,03/09/2014,914.78
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,17/09/2014,145.61
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,17/09/2014,845.93
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,17/09/2014,909.53
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,17/09/2014,125.82
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,17/09/2014,236.22
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,26/09/2014,978.38
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Aids & Appliances,CATERBAKE PACKAGING LTD,30/09/2014,110.02
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD (SY3),17/09/2014,2024.66
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD (SY3),17/09/2014,782.18
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,ROYAL VOLUNTARY SERVICES,17/09/2014,270.27
Adult Social Services,Access & Enablement,HOAF,Third Party Payments,Private Contractors,RNIB SERVICES LIMITED,15/09/2014,250
Adult Social Services,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,COBOLT SYSTEMS LTD,24/09/2014,120
Adult Social Services,Access & Enablement,HOAG,Supplies & Services,Translation Services,VISS LTD,17/09/2014,125
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Alert-it Care Alarms,08/09/2014,170
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Alert-it Care Alarms,08/09/2014,244
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,05/09/2014,975
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,05/09/2014,200
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,CHILTERN INVADEX (UK) LTD,19/09/2014,480
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Easylink,09/09/2014,166.2
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Easylink,10/09/2014,205
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,30/09/2014,5414.71
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,30/09/2014,653.62
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,09/09/2014,175
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,MANGAR INTERNATIONAL LTD,22/09/2014,990
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,MANGAR INTERNATIONAL LTD,29/09/2014,3400
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,NRS Healthcare T/A Nottingham Rehab Ltd,15/09/2014,248.4
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,OSPREY HEALTHCARE LTD,03/09/2014,145
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,PRISM MEDICAL WESTHOLME DIVISION,19/09/2014,152.75
Adult Social Services,Access & Enablement,HOAW,Employees,Employee Costs Recharged,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,15/09/2014,19662
Adult Social Services,Access & Enablement,HOAW,Employees,Employee Costs Recharged,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,08/09/2014,19662
Adult Social Services,Access & Enablement,HOBS,Supplies & Services,Aids & Appliances,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,15/09/2014,6301.66
Adult Social Services,Access & Enablement,HOBS,Supplies & Services,Aids & Appliances,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,04/09/2014,25206.64
Adult Social Services,Access & Enablement,HOCN,Supplies & Services,Stationery,SPECIALIST COMPUTERS CENTRES PLC,16/09/2014,148.1
Adult Social Services,Adult Social Care Commissioning,HCAJ,Supplies & Services,Other Grants (Expenses),Shropshire Independent Advocacy Service,29/09/2014,26854
Adult Social Services,Adult Social Care Commissioning,HOBK,Supplies & Services,Respite Care,COVERAGE CARE SERVICES LTD (SY3),25/09/2014,4193.91
Adult Social Services,Adult Social Care Commissioning,HOBK,Third Party Payments,Nursing Expenditure,COVERAGE CARE SERVICES LTD (SY3),25/09/2014,85212.2
Adult Social Services,Adult Social Care Commissioning,HOBL,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD (SY3),25/09/2014,59781.01
Adult Social Services,Adult Social Care Commissioning,HOBP,Third Party Payments,Daycare Expenditure,COVERAGE CARE SERVICES LTD (SY3),25/09/2014,11845.24
Adult Social Services,Adult Social Care Commissioning,HOBQ,Third Party Payments,Residential Expenditure,ACCORD HOUSING ASSOCIATION LIMITED,01/09/2014,15214.36
Adult Social Services,Adult Social Care Commissioning,HOBQ,Third Party Payments,Residential Expenditure,ACCORD HOUSING ASSOCIATION LIMITED,29/09/2014,15214.36
Adult Social Services,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD (SY3),23/09/2014,48240.12
Adult Social Services,Adult Social Care Commissioning,HOBZ,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,23/09/2014,31390.93
Adult Social Services,Adult Social Care Commissioning,HOBZ,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,23/09/2014,37173.43
Adult Social Services,Adult Social Care Commissioning,HOBZ,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,23/09/2014,44608.11
Adult Social Services,Adult Social Care Commissioning,HOBZ,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,17/09/2014,27692.36
Adult Social Services,Adult Social Care Commissioning,HOCJ,Supplies & Services,Other Services,BRITISH RED CROSS SOCIETY,03/09/2014,5645.79
Adult Social Services,Assessment & Case Management,HLAB,Premises-Related Expenditure,Gas,NPOWER LIMITED,30/09/2014,-271.67
Adult Social Services,Assessment & Case Management,HLAB,Third Party Payments,Nursing Expenditure,CREATIVE SUPPORT LTD,09/09/2014,1092
Adult Social Services,Assessment & Case Management,HLAF,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,15/09/2014,449.56
Adult Social Services,Assessment & Case Management,HLAF,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,09/09/2014,449.56
Adult Social Services,Assessment & Case Management,HLAF,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,09/09/2014,449.56
Adult Social Services,Assessment & Case Management,HLAF,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,09/09/2014,449.56
Adult Social Services,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,BOURNVILLE VILLAGE TRUST,30/09/2014,3300
Adult Social Services,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,BOURNVILLE VILLAGE TRUST,30/09/2014,1785
Adult Social Services,Assessment & Case Management,HLCK,Supplies & Services,Disability Living Allowance,Redacted Personal Information ,23/09/2014,104.53
Adult Social Services,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,17/09/2014,531
Adult Social Services,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,22/09/2014,336
Adult Social Services,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,09/09/2014,250
Adult Social Services,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,09/09/2014,250
Adult Social Services,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,09/09/2014,500
Adult Social Services,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,09/09/2014,500
Adult Social Services,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,09/09/2014,523
Adult Social Services,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,29/09/2014,200
Adult Social Services,Assessment & Case Management,HPAB,Supplies & Services,Computer Software (Maint),OLM SYSTEMS LTD,05/09/2014,74817.55
Adult Social Services,Personalisation Support & Service Provision,HMBJ,Premises-Related Expenditure,General Rents,THE WREKIN HOUSING TRUST (INVOICES ONLY),15/09/2014,1033.4
Adult Social Services,Personalisation Support & Service Provision,HMBK,Third Party Payments,Private Contractors,Acorn Kennels,12/09/2014,310
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JCAK,Supplies & Services,Other Services,Beacon C&C,05/09/2014,2000
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JCAK,Supplies & Services,Other Services,Beacon C&C,16/09/2014,6502.5
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JCAK,Supplies & Services,Other Services,Beacon C&C,16/09/2014,5756.55
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAB,Supplies & Services,Conference Expenses,TELFORD INTERNATIONAL CENTRE,05/09/2014,250
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAK,Supplies & Services,Other Services,Adoption Matters Northwest,05/09/2014,1194.42
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAK,Supplies & Services,Other Services,Adoption Matters Northwest,16/09/2014,1194.42
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Supplies & Services,Doctors Fees,ALPHA BIOLABORATORIES LIMITED,01/09/2014,274.75
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Third Party Payments,Interpreters Fees,PEARL LINGUISTICS LTD,11/09/2014,816.07
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Supplies & Services,Section 17 Childrens Act,Firs Riverside B & B,11/09/2014,139
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Supplies & Services,Legal,Psyben Limited,11/09/2014,1556.6
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Supplies & Services,Legal,Psyben Limited,11/09/2014,374.4
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Supplies & Services,Translation Services,UK Language Solutions Ltd,30/09/2014,384.3
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Third Party Payments,Childminders,EARLYWORLD LIMITED,11/09/2014,525
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Third Party Payments,Interpreters Fees,PEARL LINGUISTICS LTD,11/09/2014,151.6
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Third Party Payments,Childminders,SMILEY FACES DAY NURSERIES LTD,11/09/2014,726
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Third Party Payments,Childminders,SMILEY FACES DAY NURSERIES LTD,11/09/2014,759
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Third Party Payments,Childminders,SMILEY FACES DAY NURSERIES LTD,11/09/2014,660
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Third Party Payments,Childminders,WOODVILLE DAY NURSERY,30/09/2014,261.25
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,Child Trauma Intervention Services,03/09/2014,195
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,CORE ASSETS CHILDREN'S SERVICES LIMITED,03/09/2014,2450
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,ELMHURST PSYCHOLOGY LTD,03/09/2014,530
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,ELMHURST PSYCHOLOGY LTD,03/09/2014,193.67
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,ELMHURST PSYCHOLOGY LTD,03/09/2014,1857
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,INDEPENDENT LIVING PARTNERSHIP LTD,03/09/2014,214.4
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,INDEPENDENT LIVING PARTNERSHIP LTD,24/09/2014,294.85
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,Redacted Personal Information ,16/09/2014,1860
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,LIVING SPRINGS FAMILY CENTRE,22/09/2014,6373.53
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,LIVING SPRINGS FAMILY CENTRE,22/09/2014,7033.05
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,NEWSTART NETWORKS CIC,30/09/2014,1000
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,NEWSTART NETWORKS CIC,24/09/2014,1000
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,NEWSTART NETWORKS CIC,10/09/2014,500
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,Psyben Limited,03/09/2014,642.78
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,Psyben Limited,22/09/2014,3057
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,Right Mediation,03/09/2014,600
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,The National Teaching & Advisory Service,03/09/2014,396
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,WILCOX PSYCHOLOGICAL ASSOCIATES LTD,03/09/2014,175.5
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,WILCOX PSYCHOLOGICAL ASSOCIATES LTD,03/09/2014,1395.5
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,WILCOX PSYCHOLOGICAL ASSOCIATES LTD,03/09/2014,280.8
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Doctors Fees,ALPHA BIOLABORATORIES LIMITED,03/09/2014,540
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Section 17 Childrens Act,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,03/09/2014,463.81
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Section 17 Childrens Act,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,03/09/2014,255
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Section 17 Childrens Act,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,03/09/2014,412.09
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Section 17 Childrens Act,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,16/09/2014,283.67
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Section 17 Childrens Act,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,22/09/2014,470.19
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Section 17 Childrens Act,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,26/09/2014,548.52
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Section 17 Childrens Act,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,26/09/2014,447.8
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Legal,Wright McMillian Bennett Law,03/09/2014,896.35
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Third Party Payments,Childminders,DAISY CHAIN DAY CARE LTD,22/09/2014,415.45
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Third Party Payments,Interpreters Fees,PEARL LINGUISTICS LTD,11/09/2014,196.3
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Third Party Payments,Interpreters Fees,PEARL LINGUISTICS LTD,11/09/2014,731.45
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Third Party Payments,Childminders,WOODEN TOPS DAY NURSERY A/C 2862358,03/09/2014,181.15
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Third Party Payments,Childminders,WOODVILLE DAY NURSERY,03/09/2014,558
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Third Party Payments,Childminders,WOODVILLE DAY NURSERY,03/09/2014,978
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JSAB,Supplies & Services,Legal Expenses,Wright McMillian Bennett Law,02/09/2014,1637.28
Children's Safeguarding & Specialist Services,Children in Care & Fostering,HMAE,Employees,Training Expenses,ESSA MIDLANDS REGION TRAINING CONSORTIUM,29/09/2014,400
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,ABC CARE LTD,26/09/2014,3634
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,ABC CARE LTD,26/09/2014,5087.6
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,CLAY HOUSING,30/09/2014,6000
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,CLAY HOUSING,30/09/2014,3600
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,CLAY HOUSING,30/09/2014,6200
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,CLAY HOUSING,30/09/2014,6200
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,CLAY HOUSING,22/09/2014,114.7
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,IMPACTING LIVES LIMITED,08/09/2014,229.4
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,IMPACTING LIVES LIMITED,08/09/2014,229.4
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,08/09/2014,2799.96
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Provisions,IMPACTING LIVES LIMITED,09/09/2014,161
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,IMPACTING LIVES LIMITED,29/09/2014,2799.96
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,29/09/2014,229.4
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Keys 16 Plus ILS Ltd,22/09/2014,2790.67
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Keys 16 Plus ILS Ltd,19/09/2014,1771.34
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Keys 16 Plus ILS Ltd,19/09/2014,2590.67
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,Keys 16 Plus ILS Ltd,19/09/2014,253.89
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,24/09/2014,1395
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,24/09/2014,450
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,26/09/2014,332.14
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,26/09/2014,128.57
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,26/09/2014,1328.66
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,26/09/2014,200
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,SAAIL,18/09/2014,1357.17
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,SAAIL,26/09/2014,172.05
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Salop Lets,26/09/2014,2800
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,STAY TELFORD XC SUPPORTED HOUSE,19/09/2014,731.92
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,STAY TELFORD XC SUPPORTED HOUSE,26/09/2014,647.28
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Transfer Payments,Leaving Care Grant,CHAIRS & SPARES,09/09/2014,182.5
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Transfer Payments,Leaving Care Grant,Power Point Stores,26/09/2014,185
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Employees,Childcare Provision,Crackerjacks Day Nursery,03/09/2014,105
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Employees,Childcare Provision,Crackerjacks Day Nursery,03/09/2014,105
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Employees,Childcare Provision,Crackerjacks Day Nursery,03/09/2014,105
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Employees,Childcare Provision,Crackerjacks Day Nursery,03/09/2014,105
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Supplies & Services,Conference Expenses,FOSTERING NETWORK,26/09/2014,380
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Third Party Payments,Residential Expenditure,CRUCKTON HALL SCHOOL,03/09/2014,6428.55
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Third Party Payments,Interpreters Fees,PEARL LINGUISTICS LTD,11/09/2014,304.5
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Third Party Payments,Interpreters Fees,PEARL LINGUISTICS LTD,11/09/2014,456.55
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Third Party Payments,Childminders,SMILEY FACES DAY NURSERIES LTD,26/09/2014,468
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Transport-Related Expenditure,Contract Hire,CENTRAL TAXIS LTD SHREWSBURY,26/09/2014,164
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Transport-Related Expenditure,Taxi Costs,Wrixon Care Escorts and Outreach,03/09/2014,1137.45
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,Acorn House Fostering Services Ltd,30/09/2014,664.35
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,ACTION FOR CHILDREN LIMITED,11/09/2014,3516.29
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,ACTION FOR CHILDREN LIMITED,30/09/2014,-3516.29
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,ACTION FOR CHILDREN LIMITED,10/09/2014,3402.9
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,Childcare Bureau,23/09/2014,4217.55
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,Childcare Bureau,19/09/2014,3997.5
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,Childcare Bureau,19/09/2014,4081.5
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,Childcare Bureau,08/09/2014,4130.75
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,CLIFFORD HOUSE FOSTERING LTD,24/09/2014,3412
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,CLIFFORD HOUSE FOSTERING LTD,24/09/2014,-102.36
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FAMILIES@FAMILYCARE,30/09/2014,2527.2
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FAMILIES@FAMILYCARE,30/09/2014,2611.44
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FAMILIES@FAMILYCARE,30/09/2014,2527.2
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FAMILIES@FAMILYCARE,30/09/2014,2611.44
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FAMILIES@FAMILYCARE,19/09/2014,4435.5
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTER CARE ASSOCIATES LTD,19/09/2014,5152.2
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTER CARE ASSOCIATES LTD,19/09/2014,3320.31
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTER CARE ASSOCIATES LTD,19/09/2014,3160.26
