Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,
Adult Care & Support,Access & Enablement,HOAC,Premises-Related Expenditure,General Rents,THE WREKIN HOUSING TRUST,29/05/2013,398.56,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,08/05/2013,175.53,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,08/05/2013,165.28,
Adult Care & Support,Access & Enablement,HOAF,Third Party Payments,Private Contractors,ROYAL NATIONAL INSTITUTE FOR THE BLIND,24/05/2013,246,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,RNIB SERVICES LIMITED,02/05/2013,576.05,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,RNIB SERVICES LIMITED,23/05/2013,189.45,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,PATTERSON MEDICAL LTD,22/05/2013,170.27,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,PATTERSON MEDICAL LTD,15/05/2013,170.27,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,PATTERSON MEDICAL LTD,29/05/2013,164.3,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,PATTERSON MEDICAL LTD,15/05/2013,110.21,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,PATTERSON MEDICAL LTD,31/05/2013,-170.27,
Adult Care & Support,Access & Enablement,HOAG,Third Party Payments,Interpreters Fees,VISS LTD,28/05/2013,125,
Adult Care & Support,Access & Enablement,HOAG,Third Party Payments,Interpreters Fees,VISS LTD,28/05/2013,125,
Adult Care & Support,Access & Enablement,HOAG,Third Party Payments,Interpreters Fees,VISS LTD,28/05/2013,125,
Adult Care & Support,Access & Enablement,HOAG,Third Party Payments,Interpreters Fees,VISS LTD,28/05/2013,125,
Adult Care & Support,Access & Enablement,HOAG,Third Party Payments,Interpreters Fees,VISS LTD,28/05/2013,125,
Adult Care & Support,Access & Enablement,HOAN,Supplies & Services,Mobile Phones,ORANGE PCS LTD,07/05/2013,146,
Adult Care & Support,Access & Enablement,HOAN,Supplies & Services,Mobile Phones,ORANGE PCS LTD,16/05/2013,135,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Adaptations,TRAVIS PERKINS TRADING CO LIMITED,09/05/2013,348.36,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,MANGAR INTERNATIONAL LTD,24/05/2013,6800,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,MANGAR INTERNATIONAL LTD,24/05/2013,950,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,CHILTERN INVADEX (UK) LTD,29/05/2013,652.5,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,CHILTERN INVADEX (UK) LTD,21/05/2013,640,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,CARE NECESSITIES LTD,20/05/2013,590,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,SIMPLYMED LTD,20/05/2013,512.8,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,SIMPLYMED LTD,20/05/2013,500,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AIDSERVICE LTD,20/05/2013,256.5,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,KINDERKEY HEALTHCARE LTD,03/05/2013,250,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,KINDERKEY HEALTHCARE LTD,03/05/2013,140,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,20/05/2013,7162.47,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,20/05/2013,803.87,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,PRISM MEDICAL WESTHOLME DIVISION,07/05/2013,150,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,PRISM MEDICAL WESTHOLME DIVISION,08/05/2013,113,
Adult Care & Support,Access & Enablement,HOAW,Third Party Payments,Nursing Expenditure,OAKENGATES MEDICAL PRACTICE,24/05/2013,1816.25,
Adult Care & Support,Access & Enablement,HOAW,Third Party Payments,Nursing Expenditure,OAKENGATES MEDICAL PRACTICE,24/05/2013,726.5,
Adult Care & Support,Access & Enablement,HOCL,Supplies & Services,Mobile Phones,ORANGE PCS LTD,28/05/2013,135,
Adult Care & Support,Access & Enablement,HOCV,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD,24/05/2013,13988.44,
Adult Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Computer Software (Maint),CM 2000 CARE MONITORING,22/05/2013," 1,045.24 ",
Adult Care & Support,Access & Enablement,HOCV,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD,24/05/2013,13392.86,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Bulk Refuse Contracts Hire,THEO LANGSTON,07/05/2013,814.06,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Confectionery & Snacks,THEO LANGSTON,07/05/2013,814.06,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,31/05/2013,5999.98,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,31/05/2013,3664.29,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,17/05/2013,3310.8,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,17/05/2013,3235.8,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,31/05/2013,2288.57,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,17/05/2013,1241.86,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,STAY TELFORD XC SUPPORTED HOUSE,17/05/2013,1213.52,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,REDACTED PERSONAL INFORMATION,23/05/2013,1200,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,23/05/2013,398.66,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,17/05/2013,284,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,31/05/2013,251.72,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,07/05/2013,249.24,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,STUBLEYS WAREHOUSE,17/05/2013,229,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,20/05/2013,227.2,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,17/05/2013,227.2,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,17/05/2013,225,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,02/05/2013,225,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,13/05/2013,225,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,22/05/2013,218.75,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,01/05/2013,112.5,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,31/05/2013,-231.2,
Adult Care & Support,Adult Social Care Commissioning,HASA,Supplies & Services,Other Grants (Expenses),TAKING PART,28/05/2013,66448,
Adult Care & Support,Adult Social Care Commissioning,HCAJ,Supplies & Services,Other Grants (Expenses),PARKWOOD HEALTHCARE LTD,21/05/2013,40162.5,
Adult Care & Support,Adult Social Care Commissioning,HCAJ,Supplies & Services,Other Grants (Expenses),PARKWOOD HEALTHCARE LTD,21/05/2013,28500,
Adult Care & Support,Adult Social Care Commissioning,HCAJ,Supplies & Services,Other Grants (Expenses),PARKWOOD HEALTHCARE LTD,21/05/2013,14228,
Adult Care & Support,Adult Social Care Commissioning,HCAJ,Supplies & Services,Other Grants (Expenses),PARKWOOD HEALTHCARE LTD,21/05/2013,-28500,
Adult Care & Support,Adult Social Care Commissioning,HHAB,Premises-Related Expenditure,Electricity,NPOWER,16/05/2013,2638.37,
Adult Care & Support,Adult Social Care Commissioning,HHAB,Supplies & Services,Other Expenses,PHS GROUP LTD,31/05/2013,257.4,
Adult Care & Support,Adult Social Care Commissioning,HHAB,Supplies & Services,Other Expenses,PHS GROUP LTD,31/05/2013,-257.4,
Adult Care & Support,Adult Social Care Commissioning,HLEF,Supplies & Services,Marketing & Publicity,TAKING PART,14/05/2013,400,
Adult Care & Support,Adult Social Care Commissioning,HOBK,Supplies & Services,Respite Care,COVERAGE CARE SERVICES LTD,28/05/2013,2063.67,
Adult Care & Support,Adult Social Care Commissioning,HOBK,Third Party Payments,Nursing Expenditure,COVERAGE CARE SERVICES LTD,28/05/2013,87786.25,
Adult Care & Support,Adult Social Care Commissioning,HOBK,Third Party Payments,Nursing Expenditure,COVERAGE CARE SERVICES LTD,22/05/2013,12898.66,
Adult Care & Support,Adult Social Care Commissioning,HOBL,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD,28/05/2013,61475.21,
Adult Care & Support,Adult Social Care Commissioning,HOBP,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD,28/05/2013,13549.87,
Adult Care & Support,Adult Social Care Commissioning,HRAG,Supplies & Services,Other Grants (Expenses),S STAFFORDSHIRE & SHROPSHIRE HEALTHCARE,31/05/2013,32100,
Adult Care & Support,Adult Social Care Commissioning,HRAG,Supplies & Services,Other Grants (Expenses),S STAFFORDSHIRE & SHROPSHIRE HEALTHCARE,31/05/2013,32100,
Adult Care & Support,Assessment & Case Management,HLCG,Supplies & Services,Respite Care,Disability Cornwall,08/05/2013,445,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,BOURNVILLE VILLAGE TRUST,24/05/2013,2735.04,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,BOURNVILLE VILLAGE TRUST,24/05/2013,1650,
Adult Care & Support,Assessment & Case Management,HLCK,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,08/05/2013,977.37,
Adult Care & Support,Assessment & Case Management,HLCL,Third Party Payments,Residential Expenditure,BOURNVILLE VILLAGE TRUST,16/05/2013,61163,
Adult Care & Support,Assessment & Case Management,HOAE,Third Party Payments,Private Contractors,ROYAL NATIONAL INSTITUTE FOR THE BLIND,24/05/2013,1476,
Adult Care & Support,Assessment & Case Management,HOAJ,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,08/05/2013,345.61,
Adult Care & Support,Assessment & Case Management,HOAQ,Employees,Staff Training,The Enabling Technology & Training Network,30/05/2013,430,
Adult Care & Support,Assessment & Case Management,HOBN,Transport-Related Expenditure,Transport,NSL t/a NSL CARE SERVICES,01/05/2013,109.42,
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Mobile Phones,ORANGE PCS LTD,07/05/2013,145,
Adult Care & Support,Assessment & Case Management,HOCR,Supplies & Services,Consultants Fees,GARNER MOORE LTD,16/05/2013,2100,
Adult Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Postages,ROYAL MAIL GROUP LTD,01/05/2013,203.5,
Adult Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Telecomms,BT GLOBAL SERVICES,08/05/2013,409.15,
Adult Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Telecomms,BT GLOBAL SERVICES,01/05/2013,409.15,
Adult Care & Support,Care & Support,HCAG,Supplies & Services,Mobile Phones,ORANGE PCS LTD,16/05/2013,135,
Adult Care & Support,Care & Support,HCAG,Supplies & Services,Mobile Phones,ORANGE PCS LTD,16/05/2013,135,
Adult Care & Support,Care & Support,HHAM,Supplies & Services,Other Grants (Expenses),MARKETING AT THE MILL,08/05/2013,270,
Adult Care & Support,Personalisation Support & Service Provision,HLBB,Premises-Related Expenditure,Clean Mats & Toilet Requisites,CARESHOP LIMITED,15/05/2013,296.17,
Adult Care & Support,Personalisation Support & Service Provision,HLBB,Supplies & Services,Laundry & Towel Hire,PHS ALL CLEAR,15/05/2013,291.07,
Adult Care & Support,Personalisation Support & Service Provision,HLBB,Supplies & Services,Laundry & Towel Hire,PHS GROUP LTD,03/05/2013,219.6,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Premises-Related Expenditure,Clean Mats & Toilet Requisites,CARESHOP LIMITED,29/05/2013,129.62,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Provisions,BIKOLD,03/05/2013,279.06,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Provisions,BIKOLD,29/05/2013,218.38,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Provisions,G N BADLEY & SONS,10/05/2013,103.56,
Adult Care & Support,Personalisation Support & Service Provision,HLBE,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,01/05/2013,-743.47,
Adult Care & Support,Personalisation Support & Service Provision,HLDB,Supplies & Services,Equipment - Purchase,JACKDAW DINSTOCK,20/05/2013,181.36,
Adult Care & Support,Personalisation Support & Service Provision,HLDB,Supplies & Services,Items For Resale,JACKDAW DINSTOCK,20/05/2013,126.15,
Adult Care & Support,Personalisation Support & Service Provision,HLDC,Supplies & Services,Equipment - Hire,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),16/05/2013,197.93,
Adult Care & Support,Personalisation Support & Service Provision,HLDC,Supplies & Services,Equipment - Hire,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),16/05/2013,164.14,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,21/05/2013,1415.09,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,02/05/2013,1264.92,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,02/05/2013,790.5,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,21/05/2013,766.99,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,07/05/2013,238.56,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Premises-Related Expenditure,Grounds Maintenance - L&CS,TELFORD & WREKIN SERVICES LTD,02/05/2013,711.5,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Premises-Related Expenditure,Trade Refuse,PHS GROUP LTD,21/05/2013,148,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Supplies & Services,Equipment - Purchase,THE CONSORTIUM FOR PURCHASING & DISTRIBUTION LTD T/A WEST MERCIA SUPPLIES,21/05/2013,429.46,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Supplies & Services,Equipment - Purchase,BERWICK CARE EQUIPMENT LTD,21/05/2013,270,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Supplies & Services,Equipment - Purchase,COUNTRYWIDE HEALTHCARE SUPPLIES LTD,02/05/2013,182.83,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Supplies & Services,Equipment - Purchase,BERWICK CARE EQUIPMENT LTD,02/05/2013,-135,
Adult Care & Support,Personalisation Support & Service Provision,HLEC,Capital Financing Costs,Leased Equipment,LEX AUTOLEASE LTD,21/05/2013,500.14,
Adult Care & Support,Personalisation Support & Service Provision,HLEC,Premises-Related Expenditure,Clean Mats & Toilet Requisites,PHS ALL CLEAR,02/05/2013,1085.5,
Adult Care & Support,Personalisation Support & Service Provision,HLEE,Premises-Related Expenditure,Gas,NPOWER LIMITED,08/05/2013,293.47,
Adult Care & Support,Personalisation Support & Service Provision,HLEE,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,07/05/2013,101.62,
Adult Care & Support,Personalisation Support & Service Provision,HLEG,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,16/05/2013,691.22,
Adult Care & Support,Personalisation Support & Service Provision,HLEG,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,16/05/2013,345.61,
Adult Care & Support,Personalisation Support & Service Provision,HMAA,Supplies & Services,Mobile Phones,ORANGE PCS LTD,30/05/2013,675,
Adult Care & Support,Personalisation Support & Service Provision,HMAA,Supplies & Services,Mobile Phones,ORANGE PCS LTD,30/05/2013,675,
Adult Care & Support,Personalisation Support & Service Provision,HMAA,Supplies & Services,Mobile Phones,ORANGE PCS LTD,30/05/2013,675,
Adult Care & Support,Personalisation Support & Service Provision,HMAA,Supplies & Services,Mobile Phones,ORANGE PCS LTD,30/05/2013,405,
Adult Care & Support,Personalisation Support & Service Provision,HMAA,Supplies & Services,Mobile Phones,ORANGE PCS LTD,30/05/2013,135,
Adult Care & Support,Personalisation Support & Service Provision,HMAA,Supplies & Services,Other Expenses,TV LICENSING,16/05/2013,145.5,
Adult Care & Support,Personalisation Support & Service Provision,HMAA,Supplies & Services,Service Contracts,SRCL LTD,28/05/2013,877,
Adult Care & Support,Personalisation Support & Service Provision,HOAS,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,02/05/2013,129.57,
Adult Care & Support,Personalisation Support & Service Provision,HOAS,Supplies & Services,Legal Expenses,PENINSULA BUSINESS SERVICES LIMITED,02/05/2013,1663.01,
Adult Care & Support,Personalisation Support & Service Provision,HOAS,Transport-Related Expenditure,Outside Hire,GLYN UPTON REMOVALS,02/05/2013,176.8,
Adult Care & Support,Personalisation Support & Service Provision,HOCP,Supplies & Services,Mobile Phones,ORANGE PCS LTD,16/05/2013,135,
Adult Care & Support,Personalisation Support & Service Provision,HOCP,Supplies & Services,Subscriptions,ASSOCIATION OF FINANCIAL ASSESMENT OFFICERS,24/05/2013,150,
Children's Safeguarding,Child Protection & Assessment,JMAB,Supplies & Services,Doctors Fees,ALPHA BIOLABORATORIES LIMITED,02/05/2013,366.33,
Children's Safeguarding,Child Protection & Assessment,JMAB,Supplies & Services,Mobile Phones,ORANGE PCS LTD,10/05/2013,430,
Children's Safeguarding,Child Protection & Assessment,JMAB,Supplies & Services,Other Services,CONNECT CONTACT CENTRES,07/05/2013,863.63,
Children's Safeguarding,Child Protection & Assessment,JMAB,Third Party Payments,Childminders,EARLYWORLD LIMITED ,07/05/2013,708.15,
Children's Safeguarding,Child Protection & Assessment,JMAB,Third Party Payments,Childminders,SMILEY FACES DAY NURSERIES LTD,07/05/2013,469,
Children's Safeguarding,Child Protection & Assessment,JMAB,Third Party Payments,Childminders,SMILEY FACES DAY NURSERIES LTD,08/05/2013,357,
Children's Safeguarding,Child Protection & Assessment,JMAB,Transport-Related Expenditure,Taxi Costs,CORKYS CARS,20/05/2013,640,
Children's Safeguarding,Child Protection & Assessment,JMAD,Supplies & Services,Section 17 Childrens Act,DAWLEY BARGAIN CENTRE,20/05/2013,135,
Children's Safeguarding,Child Protection & Assessment,JMAD,Supplies & Services,Section 17 Childrens Act,REDACTED PERSONAL INFORMATION,03/05/2013,125,
Children's Safeguarding,Child Protection & Assessment,JMAD,Supplies & Services,Section 17 Childrens Act,REDACTED PERSONAL INFORMATION,20/05/2013,125,
Children's Safeguarding,Child Protection & Assessment,JMAD,Supplies & Services,Section 17 Childrens Act,REDACTED PERSONAL INFORMATION,13/05/2013,125,
Children's Safeguarding,Child Protection & Assessment,JMAD,Supplies & Services,Section 17 Childrens Act,REDACTED PERSONAL INFORMATION,24/05/2013,125,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,NEXT STEP CARE MANAGEMENT LTD,29/05/2013,9600,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,REDACTED PERSONAL INFORMATION,30/05/2013,1898.08,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,SEMAPHORE,31/05/2013,1400,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,ELMHURST PSYCHOLOGY LTD,28/05/2013,1347.2,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,ELMHURST PSYCHOLOGY LTD,29/05/2013,1136.63,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,MEDIATION WORKS,29/05/2013,833,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,ELMHURST PSYCHOLOGY LTD,29/05/2013,707.5,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,SEMAPHORE,31/05/2013,700,
Children's Safeguarding,Child Protection & Assessment,JMAL,Supplies & Services,CL - External Accommodation,Madeley Lettings,03/05/2013,1200,
Children's Safeguarding,Child Protection & Assessment,JMAL,Supplies & Services,No recourse to public funds,Madeley Lettings,23/05/2013,525,
Children's Safeguarding,Child Protection & Assessment,JMAL,Supplies & Services,Other Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,30/05/2013,725.22,
Children's Safeguarding,Child Protection & Assessment,JMAL,Supplies & Services,Telephones,SPECIALIST COMPUTERS CENTRES PLC,01/05/2013,137.37,
Children's Safeguarding,Child Protection & Assessment,JMAL,Supplies & Services,Telephones,SPECIALIST COMPUTERS CENTRES PLC,10/05/2013,137.37,
Children's Safeguarding,Child Protection & Assessment,JMAL,Third Party Payments,Childminders,WOODVILLE DAY NURSERY,17/05/2013,299.5,
Children's Safeguarding,Child Protection & Assessment,JMAL,Third Party Payments,Private Contractors,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,17/05/2013,652.93,
Children's Safeguarding,Child Protection & Assessment,JMAL,Third Party Payments,Private Contractors,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,02/05/2013,561.81,
Children's Safeguarding,Children in Care & Fostering,JMAF,Employees,Staff Training,The Enabling Technology & Training Network,24/05/2013,210,
Children's Safeguarding,Children in Care & Fostering,JMAF,Supplies & Services,Supportive Lodgings,EDUCARE ADOLESCENT SERVICES LTD,24/05/2013,500,
Children's Safeguarding,Children in Care & Fostering,JMAF,Supplies & Services,Supportive Lodgings,SAAIL,24/05/2013,227.2,
Children's Safeguarding,Children in Care & Fostering,JMAF,Third Party Payments,Social Care External Contact,CONNECT CONTACT CENTRES,24/05/2013,480.6,
Children's Safeguarding,Children in Care & Fostering,JMAF,Transport-Related Expenditure,Taxi Costs,DIAMOND CARS (TELFORD) LTD,23/05/2013,115,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PHOENIX FOSTERING,16/05/2013,5900,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PHOENIX FOSTERING,14/05/2013,5900,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PHOENIX FOSTERING,23/05/2013,5900,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PHOENIX FOSTERING,23/05/2013,5900,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,ACTION FOR CHILDREN LIMITED,23/05/2013,5787.61,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,ACTION FOR CHILDREN LIMITED,23/05/2013,5600.91,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PHOENIX FOSTERING,02/05/2013,5310,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PHOENIX FOSTERING,23/05/2013,5310,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PHOENIX FOSTERING,23/05/2013,5310,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,RED KITE FOSTERING,17/05/2013,5078.57,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,CORE ASSETS FOSTERING LIMITED,21/05/2013,5051.76,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,CORE ASSETS FOSTERING LIMITED,10/05/2013,4888.8,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FAMILIES@FAMILYCARE,15/05/2013,4583.35,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PROGRESS CHILDREN'S SERVICES LTD,14/05/2013,4406.34,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,Childcare Bureau,10/05/2013,4130.75,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NEXUS FOSTERING,17/05/2013,3816.1,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTERING PRIORY,07/05/2013,3808.57,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,CORE ASSETS FOSTERING LIMITED,21/05/2013,3763.05,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PROGRESS CHILDREN'S SERVICES LTD,14/05/2013,3682.8,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,CORE ASSETS FOSTERING LIMITED,08/05/2013,3641.66,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTERING PRIORY,07/05/2013,3609.29,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,CORE ASSETS FOSTERING LIMITED,21/05/2013,3537.1,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,CORE ASSETS FOSTERING LIMITED,21/05/2013,3537.1,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,07/05/2013,3514.29,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,15/05/2013,3514.29,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,CORE ASSETS FOSTERING LIMITED,21/05/2013,3445.32,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,CORE ASSETS FOSTERING LIMITED,24/05/2013,3430.99,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,CORE ASSETS FOSTERING LIMITED,08/05/2013,3423,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,CORE ASSETS FOSTERING LIMITED,08/05/2013,3423,
